generation_rule_id,source_rule_id,generation_tier,label,concept,relation,semantic_family,attribute_key,anchor_hint,allowed_categories,generation_action,required_postcondition,selection_reason,category,attribute_key_source,observed_attribute_key_support,top_observed_attribute_keys,all_pair_support,all_label0,all_label1,all_occurrence_target_probability,singleton_support,singleton_label0,singleton_label1,singleton_target_probability,discovery_singleton_support,validation_singleton_support,example_pair_ids,example_value_pairs
gen_stat_0df4e05fddba5602,stat_0df4e05fddba5602,STAT_LABEL0_CROSS_SPLIT_MIN2_P80,0,optical_power,different_value,statistical_atomic_difference,Оптическая сила,"Создай товар, где характеристику «Оптическая сила» можно изменить независимо. Не добавляй другие атрибуты, которые логически фиксируют её значение или станут противоречивыми после замены.",['Аптека'],"Replace exactly this explicit attribute with a different, realistic value for the same concrete product subtype.","Change only this attribute; preserve product subtype and all unrelated facts, and update every title mention consistently.",cross_split_p80,Аптека,override,39,"[{'attribute_key': 'оптическая сила', 'support': 39}, {'attribute_key': 'диоптрии', 'support': 6}]",1188,1187,1,0.9991582491582491,48,48,0,1.0,41,7,rp_74cd0be132fadd0f21dad35e;rp_e685f396514d9431b6af86ba;rp_f29d5c7c2fb8b8086ff942c9,"+3.25 | -0,75 | -1.50"
gen_stat_6100677137b95bbc,stat_6100677137b95bbc,STAT_LABEL0_UNANIMOUS_OVERRIDE,0,volume,different_value,statistical_atomic_difference,Объем,"Создай товар, где характеристику «Объем» можно изменить независимо. Не добавляй другие атрибуты, которые логически фиксируют её значение или станут противоречивыми после замены. Характеристика должна относиться к самому товару, а не к упаковке, доставке или приблизительному диапазону.",['Аптека'],"Replace exactly this explicit attribute with a different, realistic value for the same concrete product subtype.","Change only this attribute; preserve product subtype and all unrelated facts, and update every title mention consistently.",unanimous_singleton_override,Аптека,override,1,"[{'attribute_key': 'объем, мл', 'support': 1}]",13,8,5,0.6153846153846154,2,2,0,1.0,2,0,rp_3fb049daf133c6baff149aa5;rp_fca38eb1cb95321c4336dcc4;rp_e610f02d21488f8d9583f51b,30л | 59 мл | 25 г
gen_stat_35f442538ea613f7,stat_35f442538ea613f7,STAT_LABEL0_UNANIMOUS_OVERRIDE,0,laundry_purpose,different_value,statistical_atomic_difference,Назначение средства для стирки,"Создай товар, где характеристику «Назначение средства для стирки» можно изменить независимо. Не добавляй другие атрибуты, которые логически фиксируют её значение или станут противоречивыми после замены.",['Бытовая химия'],"Replace exactly this explicit attribute with a different, realistic value for the same concrete product subtype.","Change only this attribute; preserve product subtype and all unrelated facts, and update every title mention consistently.",unanimous_singleton_override,Бытовая химия,override,4,"[{'attribute_key': 'назначение средства для стирки', 'support': 4}, {'attribute_key': 'назначение', 'support': 2}, {'attribute_key': 'назначение стирального средства', 'support': 1}, {'attribute_key': 'эффект средства', 'support': 1}]",45,29,16,0.6444444444444445,5,5,0,1.0,5,0,rp_633ea071592841a810fcc27c;rp_5e0ef96fbb1b6816062963e9;rp_59b369d4c6f87fa5db019562,для белых тканей | для белых тканей | для черных и темных тканей
gen_stat_ac1c78f5ecb1d2ed,stat_ac1c78f5ecb1d2ed,STAT_LABEL0_CROSS_SPLIT_MIN2_P80,0,package_quantity,different_value,statistical_atomic_difference,Количество в упаковке,"Создай товар, где характеристику «Количество в упаковке» можно изменить независимо. Не добавляй другие атрибуты, которые логически фиксируют её значение или станут противоречивыми после замены. Не дублируй количество в комплектации или других числовых полях; целевое значение относится именно к числу одинаковых единиц товара.",['Бытовая химия'],"Replace exactly this explicit attribute with a different, realistic value for the same concrete product subtype.","Change only this attribute; preserve product subtype and all unrelated facts, and update every title mention consistently.",cross_split_p80,Бытовая химия,override,48,"[{'attribute_key': 'комплектация', 'support': 48}, {'attribute_key': 'единиц в одном товаре', 'support': 39}, {'attribute_key': 'количество предметов в упаковке', 'support': 10}, {'attribute_key': 'количество таблеток/капсул в одной упаковке, шт', 'support': 7}, {'attribute_key': 'количество упаковок', 'support': 5}]",421,380,41,0.9026128266033254,99,88,11,0.8888888888888888,75,24,rp_7e296ca7c6c71c2bd51a27e6;rp_a64d7b0e2e62cf8cc420f426;rp_a327e4747d2d7b2bdc5c2492,90 шт | 3 | 4 шт
gen_stat_c781aabd2636165c,stat_c781aabd2636165c,STAT_LABEL0_UNANIMOUS_OVERRIDE,0,target_audience,different_value,statistical_atomic_difference,Целевая аудитория,"Создай товар, где характеристику «Целевая аудитория» можно изменить независимо. Не добавляй другие атрибуты, которые логически фиксируют её значение или станут противоречивыми после замены.",['Бытовая химия'],"Replace exactly this explicit attribute with a different, realistic value for the same concrete product subtype.","Change only this attribute; preserve product subtype and all unrelated facts, and update every title mention consistently.",cross_split_p80,Бытовая химия,override,2,"[{'attribute_key': 'комплектация', 'support': 2}, {'attribute_key': 'назначение моющего, чистящего средства', 'support': 1}]",31,21,10,0.6774193548387096,3,3,0,1.0,1,2,rp_75b684a5c8a505b95107dbb6;rp_ce410392982375a5d2463aa6;rp_de0d3f84c3fbab080da9f6d7,для деликатных тканей | универсальный | штука
gen_stat_518f6e0fc00c16b8,stat_518f6e0fc00c16b8,STAT_LABEL0_MIN2_P80,0,case_diameter,different_value,statistical_atomic_difference,Диаметр корпуса,"Создай товар, где характеристику «Диаметр корпуса» можно изменить независимо. Не добавляй другие атрибуты, которые логически фиксируют её значение или станут противоречивыми после замены.",['Галантерея и аксессуары'],"Replace exactly this explicit attribute with a different, realistic value for the same concrete product subtype.","Change only this attribute; preserve product subtype and all unrelated facts, and update every title mention consistently.",singleton_and_all_occurrence_p80,Галантерея и аксессуары,static_pair_rule_mapping,2,"[{'attribute_key': 'диаметр корпуса, мм', 'support': 2}, {'attribute_key': 'диаметр корпуса', 'support': 2}]",226,204,22,0.9026548672566371,2,2,0,1.0,2,0,rp_a5131ad7924874d75d58c50b;rp_75ecc911c39c3b51e0eeb251;rp_b8b54e9dc9ab26b623c5bbbe,5 см | 34 | 45
gen_stat_9f41ae3bae155bf2,stat_9f41ae3bae155bf2,STAT_LABEL0_CROSS_SPLIT_MIN2_P80,0,collection,different_value,statistical_atomic_difference,коллекция,"Создай товар, где характеристику «коллекция» можно изменить независимо. Не добавляй другие атрибуты, которые логически фиксируют её значение или станут противоречивыми после замены.",['Галантерея и аксессуары'],"Replace exactly this explicit attribute with a different, realistic value for the same concrete product subtype.","Change only this attribute; preserve product subtype and all unrelated facts, and update every title mention consistently.",cross_split_p80,Галантерея и аксессуары,dominant_singleton_evidence,6,"[{'attribute_key': 'коллекция', 'support': 6}]",176,155,21,0.8806818181818182,3,3,0,1.0,1,2,rp_9100eda40ba850ca52016fb3;rp_8b13718e9e261ba695b66ef2;rp_9e4b110efe9771b928cc9a65,весна-лето 2023 | базовая коллекция | базовая коллекция
gen_stat_1063e98aa8c74d18,stat_1063e98aa8c74d18,STAT_LABEL0_CROSS_SPLIT_MIN2_P80,0,gender,different_value,statistical_atomic_difference,пол,"Создай товар, где характеристику «пол» можно изменить независимо. Не добавляй другие атрибуты, которые логически фиксируют её значение или станут противоречивыми после замены.",['Галантерея и аксессуары'],"Replace exactly this explicit attribute with a different, realistic value for the same concrete product subtype.","Change only this attribute; preserve product subtype and all unrelated facts, and update every title mention consistently.",cross_split_p80,Галантерея и аксессуары,dominant_singleton_evidence,45,"[{'attribute_key': 'пол', 'support': 45}]",333,284,49,0.8528528528528528,23,21,2,0.9130434782608695,21,2,rp_4b3ba8ef032b1522057be2ca;rp_3be2342bbc07bc9a9bff88dd;rp_18a1f88dfc944bf2ca167b3b,унисекс | универсальный | девочки
gen_stat_f54f5dde2d6be3d4,stat_f54f5dde2d6be3d4,STAT_LABEL0_CROSS_SPLIT_MIN2_P80,0,size,different_value,statistical_atomic_difference,Размер,"Создай товар, где характеристику «Размер» можно изменить независимо. Не добавляй другие атрибуты, которые логически фиксируют её значение или станут противоречивыми после замены.",['Галантерея и аксессуары'],"Replace exactly this explicit attribute with a different, realistic value for the same concrete product subtype.","Change only this attribute; preserve product subtype and all unrelated facts, and update every title mention consistently.",cross_split_p80,Галантерея и аксессуары,override,4,"[{'attribute_key': 'размер изделия', 'support': 4}, {'attribute_key': 'российский размер', 'support': 4}, {'attribute_key': 'размер чемодана', 'support': 1}, {'attribute_key': 'ширина предмета', 'support': 1}, {'attribute_key': 'размер браслета', 'support': 1}]",144,119,25,0.8263888888888888,9,8,1,0.8888888888888888,6,3,rp_72ff7ca8b707565e913305a1;rp_22aef6292c26c91b054829bb;rp_f3f82949c033193f8bef1e43,крупные | d-8см | безразмерный
gen_stat_1c0182c032bfaa74,stat_1c0182c032bfaa74,STAT_LABEL0_MIN2_P80,0,car_brand,different_value,statistical_atomic_difference,Марка автомобиля,"Создай товар, где характеристику «Марка автомобиля» можно изменить независимо. Не добавляй другие атрибуты, которые логически фиксируют её значение или станут противоречивыми после замены.",['Детские товары'],"Replace exactly this explicit attribute with a different, realistic value for the same concrete product subtype.","Change only this attribute; preserve product subtype and all unrelated facts, and update every title mention consistently.",singleton_and_all_occurrence_p80,Детские товары,override,4,"[{'attribute_key': 'марка автомобиля', 'support': 4}]",13,12,1,0.9230769230769231,3,3,0,1.0,3,0,rp_ac2de7d47c1e213d00f65704;rp_9de1145539052bb1eb2d2dfe;rp_d3f27a78627fb910bfdbf796,jeep | volvo | shelby
gen_stat_54a58c2a7d9f41e1,stat_54a58c2a7d9f41e1,STAT_LABEL0_MIN2_P80,0,item_count,different_value,statistical_atomic_difference,Количество предметов,"Создай товар, где характеристику «Количество предметов» можно изменить независимо. Не добавляй другие атрибуты, которые логически фиксируют её значение или станут противоречивыми после замены.",['Детские товары'],"Replace exactly this explicit attribute with a different, realistic value for the same concrete product subtype.","Change only this attribute; preserve product subtype and all unrelated facts, and update every title mention consistently.",singleton_and_all_occurrence_p80,Детские товары,override,1,"[{'attribute_key': 'количество элементов, шт', 'support': 1}, {'attribute_key': 'комплектация', 'support': 1}]",10,8,2,0.8,3,3,0,1.0,3,0,rp_9ca8a9a61e6183a45b3ae0e6;rp_e6cf9368802f9c744e194859;rp_2f2c3e53bb1cea457ef73f28,8 элементов | 15 | 12 элементов
gen_stat_16ef275babeb20cf,stat_16ef275babeb20cf,STAT_LABEL0_UNANIMOUS_OVERRIDE,0,packaging_type,different_value,statistical_atomic_difference,Тип упаковки,"Создай товар, где характеристику «Тип упаковки» можно изменить независимо. Не добавляй другие атрибуты, которые логически фиксируют её значение или станут противоречивыми после замены.",['Детские товары'],"Replace exactly this explicit attribute with a different, realistic value for the same concrete product subtype.","Change only this attribute; preserve product subtype and all unrelated facts, and update every title mention consistently.",unanimous_singleton_override,Детские товары,override,2,"[{'attribute_key': 'комплектация', 'support': 2}]",5,3,2,0.6,2,2,0,1.0,2,0,rp_7f162cc9c2385aff5f032dee;rp_3ddf6de18eb74d2aff9677c6;rp_f1251e108563f6cada6034a5,"подар. коробка | товар в фабричной упаковке | набор инерц. строит. машин 4 шт.,серия мир micro игрушек, crd 13,5 см, арт.m7618-2"
gen_stat_b6188f4a38bd607b,stat_b6188f4a38bd607b,STAT_LABEL0_UNANIMOUS_OVERRIDE,0,vehicle_type,different_value,statistical_atomic_difference,Тип транспорта,"Создай товар, где характеристику «Тип транспорта» можно изменить независимо. Не добавляй другие атрибуты, которые логически фиксируют её значение или станут противоречивыми после замены. В частности, не указывай состав, сырьё, конструкцию или назначение, которые верны только для исходного значения.",['Детские товары'],"Replace exactly this explicit attribute with a different, realistic value for the same concrete product subtype.","Change only this attribute; preserve product subtype and all unrelated facts, and update every title mention consistently.",unanimous_singleton_override,Детские товары,override,2,"[{'attribute_key': 'тип', 'support': 2}, {'attribute_key': 'вид спецтехники', 'support': 1}]",24,15,9,0.625,2,2,0,1.0,2,0,rp_b3bc9255d775421d08e5c503;rp_7211b06e646cb5a639cc1e30;rp_3e4c2560bde3da4b58ba82bf,спецтехника | масштабные модели | машина
gen_stat_cdcd6c1c0db51084,stat_cdcd6c1c0db51084,STAT_LABEL0_CROSS_SPLIT_MIN2_P80,0,package_quantity,different_value,statistical_atomic_difference,Количество в упаковке,"Создай товар, где характеристику «Количество в упаковке» можно изменить независимо. Не добавляй другие атрибуты, которые логически фиксируют её значение или станут противоречивыми после замены. Не дублируй количество в комплектации или других числовых полях; целевое значение относится именно к числу одинаковых единиц товара.",['Дом и сад'],"Replace exactly this explicit attribute with a different, realistic value for the same concrete product subtype.","Change only this attribute; preserve product subtype and all unrelated facts, and update every title mention consistently.",cross_split_p80,Дом и сад,override,27,"[{'attribute_key': 'комплектация', 'support': 27}, {'attribute_key': 'количество заводских упаковок', 'support': 5}, {'attribute_key': 'количество в упаковке, шт.', 'support': 4}, {'attribute_key': 'количество предметов', 'support': 4}, {'attribute_key': 'количество предметов в упаковке', 'support': 3}]",235,213,22,0.9063829787234042,42,36,6,0.8571428571428571,35,7,rp_59fbd245403de0477e3cd456;rp_933f47f9efaad0511308359e;rp_38aa86445dfd477787d696f6,2 шторы | 2 | 1
gen_stat_f51480fbf68beb8b,stat_f51480fbf68beb8b,STAT_LABEL0_MIN2_P80,0,variety,different_value,statistical_atomic_difference,сорт семян,"Создай товар, где характеристику «сорт семян» можно изменить независимо. Не добавляй другие атрибуты, которые логически фиксируют её значение или станут противоречивыми после замены.",['Дом и сад'],"Replace exactly this explicit attribute with a different, realistic value for the same concrete product subtype.","Change only this attribute; preserve product subtype and all unrelated facts, and update every title mention consistently.",singleton_and_all_occurrence_p80,Дом и сад,dominant_singleton_evidence,3,"[{'attribute_key': 'сорт семян', 'support': 3}, {'attribute_key': 'вид посадочного материала', 'support': 1}, {'attribute_key': 'вид семян', 'support': 1}, {'attribute_key': 'комплектация', 'support': 1}]",50,48,2,0.96,10,9,1,0.9,10,0,rp_070ac9566ee2ea3b27a4f8af;rp_8fc17c75e68e0b855e8c2f28;rp_69ebf8580d5984fc669b8bfc,трюфель желтый | здравница | викторианская смесь
gen_stat_3b83d08e1b18148e,stat_3b83d08e1b18148e,STAT_LABEL0_CROSS_SPLIT_MIN2_P80,0,volume,different_value,statistical_atomic_difference,Объем,"Создай товар, где характеристику «Объем» можно изменить независимо. Не добавляй другие атрибуты, которые логически фиксируют её значение или станут противоречивыми после замены. Характеристика должна относиться к самому товару, а не к упаковке, доставке или приблизительному диапазону.",['Дом и сад'],"Replace exactly this explicit attribute with a different, realistic value for the same concrete product subtype.","Change only this attribute; preserve product subtype and all unrelated facts, and update every title mention consistently.",cross_split_p80,Дом и сад,override,5,"[{'attribute_key': 'объем, л', 'support': 5}, {'attribute_key': 'объем товара', 'support': 2}, {'attribute_key': 'объем, мл', 'support': 1}, {'attribute_key': 'объем (л)', 'support': 1}, {'attribute_key': 'объем', 'support': 1}]",100,92,8,0.92,10,9,1,0.9,8,2,rp_2901806419ba2112a9025409;rp_5747fa83096354dae56c6a19;rp_ab65a7d196eb29ab2106952a,5л | 1.35 л | 300
gen_stat_65c037ae6a3485a8,stat_65c037ae6a3485a8,STAT_LABEL0_CROSS_SPLIT_MIN2_P80,0,width,different_value,statistical_atomic_difference,Ширина,"Создай товар, где характеристику «Ширина» можно изменить независимо. Не добавляй другие атрибуты, которые логически фиксируют её значение или станут противоречивыми после замены. Характеристика должна относиться к самому товару, а не к упаковке, доставке или приблизительному диапазону.",['Дом и сад'],"Replace exactly this explicit attribute with a different, realistic value for the same concrete product subtype.","Change only this attribute; preserve product subtype and all unrelated facts, and update every title mention consistently.",cross_split_p80,Дом и сад,override,2,"[{'attribute_key': 'ширина, см', 'support': 2}, {'attribute_key': 'ширина штор', 'support': 1}]",403,386,17,0.9578163771712159,4,4,0,1.0,3,1,rp_59fbd245403de0477e3cd456;rp_933f47f9efaad0511308359e;rp_f1e01889b032f48f04c78fbc,130 | 300 | 150
gen_stat_996fafdc2dd9e7b1,stat_996fafdc2dd9e7b1,STAT_LABEL0_CROSS_SPLIT_MIN2_P80,0,brush_size,different_value,statistical_atomic_difference,кисть №,"Создай товар, где характеристику «кисть №» можно изменить независимо. Не добавляй другие атрибуты, которые логически фиксируют её значение или станут противоречивыми после замены.",['Канцелярские товары'],"Replace exactly this explicit attribute with a different, realistic value for the same concrete product subtype.","Change only this attribute; preserve product subtype and all unrelated facts, and update every title mention consistently.",cross_split_p80,Канцелярские товары,dominant_singleton_evidence,2,"[{'attribute_key': 'кисть №', 'support': 2}]",15,15,0,1.0,5,5,0,1.0,4,1,rp_9ec1459172a073d60cf15abf;rp_01c09a2b04c223843277d0e4;rp_b7d39e79510e79e2de95e01f,№ 8 | 6 | №4
gen_stat_24ec1f6dcc6d4ae2,stat_24ec1f6dcc6d4ae2,STAT_LABEL0_MIN2_P80,0,density,different_value,statistical_atomic_difference,"плотность, г/м2","Создай товар, где характеристику «плотность, г/м2» можно изменить независимо. Не добавляй другие атрибуты, которые логически фиксируют её значение или станут противоречивыми после замены.",['Канцелярские товары'],"Replace exactly this explicit attribute with a different, realistic value for the same concrete product subtype.","Change only this attribute; preserve product subtype and all unrelated facts, and update every title mention consistently.",singleton_and_all_occurrence_p80,Канцелярские товары,dominant_singleton_evidence,2,"[{'attribute_key': 'плотность, г/м2', 'support': 2}, {'attribute_key': 'плотность бумаги', 'support': 1}, {'attribute_key': 'плотность', 'support': 1}]",22,19,3,0.8636363636363636,3,3,0,1.0,3,0,rp_e5d270935466ed56576bf5c6;rp_727a5e10c82a23a99175ee7c;rp_e4521816ab5a157bef84c085,170 | 200 г/м2 | 90г/м2
gen_stat_1141dcc320c12eac,stat_1141dcc320c12eac,STAT_LABEL0_MIN2_P80,0,diameter,different_value,statistical_atomic_difference,Диаметр,"Создай товар, где характеристику «Диаметр» можно изменить независимо. Не добавляй другие атрибуты, которые логически фиксируют её значение или станут противоречивыми после замены. Характеристика должна относиться к самому товару, а не к упаковке, доставке или приблизительному диапазону.",['Канцелярские товары'],"Replace exactly this explicit attribute with a different, realistic value for the same concrete product subtype.","Change only this attribute; preserve product subtype and all unrelated facts, and update every title mention consistently.",singleton_and_all_occurrence_p80,Канцелярские товары,static_pair_rule_mapping,0,[],13,13,0,1.0,2,2,0,1.0,2,0,rp_60cebad6d8ac4eb247e136ad;rp_65f9f37f7ffe176ce0475902;rp_9ccdd72644ea3a2d87a9e143,12мм | 21 см | 19 мм
gen_stat_435820ac094e8d4d,stat_435820ac094e8d4d,STAT_LABEL0_MIN2_P80,0,ink_color,different_value,statistical_atomic_difference,цвет чернил,"Создай товар, где характеристику «цвет чернил» можно изменить независимо. Не добавляй другие атрибуты, которые логически фиксируют её значение или станут противоречивыми после замены.",['Канцелярские товары'],"Replace exactly this explicit attribute with a different, realistic value for the same concrete product subtype.","Change only this attribute; preserve product subtype and all unrelated facts, and update every title mention consistently.",singleton_and_all_occurrence_p80,Канцелярские товары,dominant_singleton_evidence,3,"[{'attribute_key': 'цвет чернил', 'support': 3}, {'attribute_key': 'цвет товара', 'support': 1}]",37,30,7,0.8108108108108109,2,2,0,1.0,2,0,rp_3b3290edeae461a778020199;rp_578ba8472c9b65bd9e75b0dc;rp_9bd5d15bd1e645269a28c78d,айдар | синий | cиний+синий
