comparison_id,pattern,category,target,title_a,title_b,numbers_a,numbers_b,codes_a,codes_b
C015,code_conflict,Музыкальные инструменты,0,трость для бас-кларнета rigotti gold jazz rg.jcb-3.5,трость для бас-кларнета rigotti gold classic rg.ccb-3.5,3.5,100042338109 | 3.5,jcb3,ccb3
C016,code_conflict,Музыкальные инструменты,0,valencia vc104bus гитара классическая,гитара belucci классическая 7/8 bc3825 bls,18 | 2 | 4 | 6,7 | 8,vc104bus,bc3825
C017,color_conflict,Детские товары,0,asras - toy / мягкая игрушка подушка гусь обнимусь 130 см большая,мягкая плюшевая игрушка подушка гусь обнимусь 130 см,125 | 13 | 130 | 2 | 20 | 30 | 9 | 90,0 | 130,,
C018,color_conflict,Галантерея и аксессуары,0,восток часы наручные механические,"наручные часы восток командирские, оранжевый",18 | 2 | 40 | 61,12 | 18 | 2 | 40.9 | 40.90 | 75 | 80,,2414а
C019,color_conflict,Мебель,0,"лига диванов прямой диван, механизм аккордеон, 132х110х93 см",лига диванов прямой диван меркурий 100,100 | 105493 | 110 | 132 | 18 | 190 | 41 | 57 | 75000 | 93,1 | 100 | 110 | 87,132х110х93,132х110х93
C020,color_conflict,Мебель,0,без бренда кровать linch с подъемным механизмом с размером спального места 90x200,кровать sierra с подъемным механизмом с размером спального места 90x200,100 | 120 | 2 | 200 | 210 | 250 | 30 | 90 | 98,1 | 120 | 13332006879 | 18 | 200 | 210 | 250 | 30 | 60000 | 90 | 98,200х120х8 | 90x200,90x200
C021,color_conflict,Музыкальные инструменты,0,электрогитара aria stg-003 3ts,электрогитара леворукая aria stg-003-l 3ts,003 | 1 | 2 | 22 | 25.5 | 43 | 6,003 | 22 | 3 | 6 | 648,stg003 | vft1,3х | stg003l
C022,color_conflict,Хобби и творчество,0,алмазная мозаика на подрамнике 40х50,алмазная мозаика 40х50cm на подрамнике,30 | 4 | 6 | 650,1 | 2 | 3 | 4 | 40 | 400 | 50 | 500 | 6 | 6768918853,40х50,40х50cm | ga73217
C023,color_conflict,Обувь,0,туфли женские tendance pz-d2218-2 черные 40 eu,туфли tendance,100064929326 | 2 | 25.5 | 3428129 | 40 | 5.5,0.3 | 40 | 5.7,pzd22182,
C024,color_conflict,Музыкальные инструменты,0,terris tlp-039 bk электрогитара шестиструнная,terris / электрогитара шестиструнная tlp 039 wh,039 | 1000 | 12 | 22 | 400 | 42 | 4500 | 50 | 6 | 648,039 | 1 | 100 | 2 | 22 | 4.8 | 42 | 43 | 6 | 628.7,tlp039,
C025,color_conflict,Автотовары,0,"краска для сколов во флаконе с кисточкой color1 для toyota, цвет d02 - silver","краска для сколов во флаконе с кисточкой color1 для toyota, цвет 22u - dahlia blue",0.075 | 20 | 365,,color1,color1
C026,color_conflict,Музыкальные инструменты,0,"evans bd22emad пластик для бас-барабана 22""","evans bd22rsw eq3 пластик для бас-барабана 22""",22,1 | 22,bd22emad,bd22rsw
C027,color_conflict,Автотовары,0,"краска для сколов во флаконе с кисточкой color1 для ford, цвет pvv - ice blue","краска для сколов во флаконе с кисточкой color1 для ford, цвет 3cta - blue print",1 | 20 | 6681396626,0.075 | 20 | 365,color1,color1
C028,color_conflict,Электроника,0,tecno / чехол на tecno spark 20 pro/текно спарк 20 про,"чехол на tecno spark 20 pro (для техно спарк 20 про) силикон с рисунком ""капли на филетовой траве""",1 | 16 | 20 | 25 | 8,115322 | 169.6 | 20 | 24 | 6.78 | 77.6 | 9.4,,
C029,color_conflict,Ювелирные изделия,0,sokolov / обручальное кольцо серебро 925 пробы ювелирное,роскошь кольцо обручальное серебро позолоченное 925 пробы,16.5 | 2.94 | 925,1.52 | 20.5 | 925 | 93110001,,
C030,color_conflict,Электроника,0,наушники air беспроводные,наушники airpods беспроводные,1 | 100 | 120 | 2 | 20 | 20000 | 22 | 3 | 4 | 40 | 5.0 | 50 | 55 | 90,2 | 210 | 23 | 6,,
C031,color_conflict,Автотовары,0,"краска для сколов во флаконе с кисточкой color1 для mazda, цвет 34m - cosmic blue","краска для сколов во флаконе с кисточкой color1 для mazda, цвет u1 - arctic blue",0.075 | 365 | 40,1 | 20 | 6650572769,color1,color1
C032,color_conflict,Ювелирные изделия,0,multisilver / подвеска на шею серебро 925,подвеска на шею серебро 925,0.3 | 925,1.7 | 2.0 | 20 | 3 | 41030001 | 925,,
C033,color_conflict,Дом и сад,0,"витебские ковры ковровая дорожка ширина 90 см, длина 380 см / ковровая дорожка на войлочной основе / ковровая дорожка ширина 0,9 м","ковровая дорожка / ковровая дорожка ширина 110 см, длина 400 см / ковровая дорожка на войлочной основе / ковровая дорожка метражом",0.9 | 22 | 3 | 3.77 | 3.8 | 380 | 50 | 90,1 | 1.1 | 110 | 3 | 4 | 400 | 6834979317,50х93х22,
C034,memory_conflict,Автотовары,0,"штатная магнитола teyes cc2l plus renault duster 1 2010-2015 / nissan terrano 3 2014-2022 9"", 1+16g","штатная магнитола teyes cc2l plus mitsubishi lancer 9 cs 2000-2010 9"" 1+16g",1 | 16 | 2010 | 2014 | 2015 | 2022 | 3 | 9,1 | 12 | 1280 | 15 | 16 | 1800 | 2000 | 2010 | 4 | 50 | 720 | 8.1 | 9,1280x720,uis8141e
C035,model_conflict,Обувь,0,кроссовки nike,"кроссовки nike air max, размер 42 eu, серый",36 | 37,015 | 42,,cw4555015
C036,model_conflict,Автотовары,0,фильтр топливный,metaco фильтр топливный,,100054905313 | 1030013,affm078 | milestaffm078,
C037,model_conflict,Автотовары,0,partra колодки тормозные,"ween колодки тормозные дисковые, арт. 1511118",5,1511118 | 1593610,cx5,
C038,model_conflict,Ювелирные изделия,0,"zoloto.gold кольцо обручальное zoloto.gold, красное золото, 585 проба, размер 15.5",zoloto.gold кольцо золото красное 585 пробы,1.42 | 15.5 | 585,2.75 | 23 | 23.5 | 4.0 | 585,,
C039,model_conflict,Автотовары,0,фильтр топливный,metaco фильтр топливный,3111226050 | 3111226055,100054905313 | 1030013,hs110049 | kr1116f | patronhs110049,
C040,model_conflict,Автотовары,0,колодки тормозные,колодки тормозные,3000048,19 | 47104 | 520 | 8,adr340211 | k0y13328za | kdy93328z9c | qf84600 | quattrofreniqf84600,
C041,model_conflict,Ювелирные изделия,0,юверос кольцо,"юверос кольцо обручальное юверос, комбинированное золото, 585 проба, размер 18.5",100307 | 17.5 | 5.17 | 585,18.5 | 585 | 7.92,,
C042,model_conflict,Автотовары,0,амортизатор подвески monroe g16767,амортизатор подвески monroe g16598,1 | 100023956879,1 | 3212382,g16767,g16598
C043,model_conflict,Автотовары,0,moog наконечник рулевой тяги,наконечник рулевой тяги 53434,1 | 100056306480,53434,voes8227,
C044,model_conflict,Автотовары,0,fenox фильтр воздушный арт. fai168,фильтр воздушный fenox fai167,169 | 186032 | 2 | 2811322051 | 282 | 58,3,fai168,fai167
C045,model_conflict,Автотовары,0,колодки тормозные,partra колодки тормозные,1.6 | 11046152 | 11046952012 | 1605454 | 1605746 | 1605789 | 1605808 | 2.0 | 9007094 | 90398760 | 90399495 | 93192637 | 96253383 | 96281937 | 96281939 | 96319060 | 96349060 | 96391891 | 96405129 | 96405130 | 96495227 | 96534655 | 97,5,d96253382 | d96281937 | pbp1116 | pbp1369 | pbp1905 | s4510005 | s4510011 | s4510019,cx5
C046,model_conflict,Ювелирные изделия,0,"кольцо из серебра р. 20 diamant 93-310-01601-1, перламутр","diamant, кольцо из золочёного серебра с перламутром, 93-310-01602-1, 925 проба",0 | 01601 | 1 | 100048675185 | 2.74 | 20 | 310 | 925 | 93,01602 | 1 | 12 | 17 | 2.1 | 3 | 3.23 | 310 | 5.401 | 6 | 925 | 93,,4х21х14
C047,model_conflict,Ювелирные изделия,0,"кольцо обручальное из красного золота р. 19,5 яхонт ювелирный 149273",яхонт ювелирный кольцо из золота с алмазной гранью арт. 149273,0 | 1.34 | 100058010017 | 149273 | 19.5 | 585,1.75 | 149273 | 1492730022 | 2023 | 22 | 585,,
C048,model_conflict,Автотовары,0,колодки тормозные ctr ckvw9,тормозные колодки ctr ckvo9,272343 | 2723435 | 272370 | 2723700 | 2723708 | 31262795 | 312627950,,ckvw9 | gk1236,ckvo9
C049,model_conflict,Автотовары,0,амортизатор,mando амортизатор,1207444 | 1209717 | 1231001 | 1233564,1 | 100056269997,2n1118008aa | 2n1118008ab | 2n1118008ac | 2n1118008ad | kt073570,mss016842
C050,model_conflict,Автотовары,0,krauf суппорт тормозной,суппорт тормозной,100040370823,2147268,bnz1141zw,1j0615424b | 8n0615424a
C051,model_conflict,Автотовары,0,/ чехлы на сиденья пежо 206 (peugeot 206) с 1998-2008г.,чехлы на сиденья пежо 206 (peugeot 206) с 1998-2008г.,13 | 1998 | 206 | 4 | 50 | 70,0101 | 1 | 1998 | 206,19982008г,19982008г | avtolider1 | pg210101kk1 | кк1
C052,model_conflict,Обувь,0,кроссовки adidas adidas,кроссовки женские adidas performance ad541a28c белые 44 2/3 eu,22 | 23 | 23.5 | 24 | 24.5 | 25.5 | 26 | 26.5 | 27 | 28 | 41 | 5,2 | 3 | 43.5 | 44 | 600016062031,,ad541a28c | zalad541a28ca130100000
C053,model_conflict,Мебель,0,teymi комплект teymi: тумба nura 70 дуб эврика/графит матовый + раковина helmi mini 24 f03503,комплект teymi: тумба ritta 65 дуб эврика/графит матовый + раковина helmi mini 24 f03353,24 | 45 | 600015387515 | 62 | 70,1211576 | 2 | 24 | 45 | 51.6 | 65 | 6897660580,f03503,f03353
C054,model_conflict,Ювелирные изделия,0,серьги из красного золота,серьги из красного золота 585gold 402004417,0.26 | 00000 | 000013125 | 0000532171 | 0001 | 005 | 01 | 02 | 095439 | 1 | 12 | 17 | 2 | 2.548 | 2022 | 4 | 57 | 585 | 6 | 7 | 9,0 | 100055191606 | 2.00 | 375 | 402004417 | 4300141360,кр17 | кр57 | кр570,585gold
C055,numeric_or_unit_conflict,Ювелирные изделия,0,"sokolov кольцо sokolov, серебро, 925 проба, родирование, жемчуг пресноводный культивированный, фианит, размер 18","sokolov, кольцо из серебра с жемчугом и фианитами, 92014447, 925 проба",1 | 1.50 | 18 | 2 | 2.50 | 2.663 | 8.00 | 925,12 | 19 | 2.79 | 3 | 3.419 | 6 | 92014447 | 925,,
C056,numeric_or_unit_conflict,Ювелирные изделия,0,"sokolov кольцо sokolov, серебро, 925 проба, родирование, фианит, размер 21","sokolov, кольцо из серебра с фианитами, 94013850-9, 925 проба",21 | 3.00 | 3.603 | 925,12 | 18 | 3 | 3.15 | 3.412 | 6 | 9 | 925 | 94013850,,
C057,numeric_or_unit_conflict,Ювелирные изделия,0,"zoloto.gold кольцо обручальное zoloto.gold, красное золото, 585 проба, размер 19.5","zoloto.gold кольцо широкое плоское обручальное  из красного золота 585 пробы, ширина - 6 мм.",1.71 | 19.5 | 585,21 | 226000 | 3.99 | 585 | 6,,22600021z
C058,numeric_or_unit_conflict,Бытовая химия,0,abc стиральный порошок для цветного белья 3кг,abc / порошок стиральный abc 3 кг оригинал,1 | 15 | 16 | 17 | 3 | 3000 | 34 | 5,12 | 18 | 28 | 3 | 30 | 36,,
C059,numeric_or_unit_conflict,Товары для животных,0,"комплект ""собачки"", ширина 1 см, поводок 1,2 м, шлейка 23-35 см, голубой","пижон комплект прошитый ""лапки"", поводок 120 х 1 см, ог 23-35 см, голубой",1 | 1.2 | 1697076 | 23 | 30 | 35,1 | 120 | 23 | 30 | 35,,
C060,numeric_or_unit_conflict,Ювелирные изделия,0,"diamant кольцо diamant, серебро, 925 проба, чернение, размер 19, белый","кольцо серебро 925, 95-110-00942-1",00942 | 1 | 1.75 | 110 | 19 | 925 | 95,00942 | 1 | 1.64 | 110 | 12 | 18.5 | 3 | 6 | 925 | 95,,
C061,numeric_or_unit_conflict,Аптека,0,очки с футляром-змейка melorsch мод. 2098 цвет 1 с линзами ecoplus 1.56 hmc -0.50 рц 60-62,melorsh очки с футляром-змейка melorsch мод. 2098 цвет 1 с линзами ecoplus 1.56 hmc -0.75 рц 60-62,0.50 | 1 | 1.56 | 140 | 144 | 17 | 2023 | 2098 | 47 | 54 | 60 | 62,0.75 | 1 | 1.56 | 144 | 2098 | 47 | 54 | 60 | 62,uv400,uv400
C062,numeric_or_unit_conflict,Красота и гигиена,0,"lash&go ресницы черные 0,07/d/12 mm (16 линий)","lash&go ресницы черные 0,10/d+/7 mm (16 линий)",0 | 0.07 | 07 | 100 | 12 | 16 | 30 | 5,0.10 | 16 | 7,,
C063,numeric_or_unit_conflict,Канцелярские товары,0,"пастель сухая в карандаше koh-i-noor gioconda 8820/45 soft pastel, жёлто- коричневая","пастель сухая в карандаше koh-i-noor gioconda 8820/03 soft pastel, тёмная охра",45 | 8820,03 | 1 | 365 | 8820,,
C064,numeric_or_unit_conflict,Мебель,0,"solarius стол журнальный loft со столешницей цвета ольхи из массива сосны 40 мм и белыми металлическими ножками, 140х60х50 см","стол журнальный loft со столешницей из массива сосны 40 мм без шлифовки и покраски с белыми металлическими ножками, 140х70х50 см",2 | 21 | 4 | 40,1 | 10242 | 140 | 2 | 23600 | 40 | 50 | 70 | 701,140х60х50 | 142х62х21 | 60x140x50,140х70х50
C065,numeric_or_unit_conflict,Электроника,0,"apple смартфон iphone 11 4/128 гб, черный",apple / iphone 11 128gb,11 | 12 | 128 | 13 | 194 | 2 | 2.65 | 20 | 2160 | 240 | 3 | 30 | 3110 | 3840 | 4 | 5.0 | 6 | 6.1 | 60 | 75 | 802,0.83 | 1 | 10 | 11 | 12 | 128 | 13 | 15.09 | 18 | 194 | 25 | 4 | 5 | 5.0 | 6 | 6.1 | 7.57,1792x828 | 7x150,1792x828
C066,numeric_or_unit_conflict,Канцелярские товары,0,"бумага цветная promega jet (а3, 160г, зеленая пастель) 250л/уп","комплект 2 упаковок, бумага цветная promega jet (а3.160г, голубая пастель) 250л/уп",1 | 160 | 250 | 29.7 | 42,2 | 250,297x420,
C067,numeric_or_unit_conflict,Бытовая химия,0,abc/стиральный порошок 9кг/лимон,abc бытовая химия / стиральный порошок abc 9 кг,1 | 11 | 15 | 30 | 45 | 5 | 9 | 90 | 9000,15 | 2025 | 24 | 35 | 9 | 90 | 9000,,
C068,numeric_or_unit_conflict,Продукты питания,0,чай черный листовой greenfield golden ceylon (гринфилд голден цейлон) 100г (комплект 20 шт.) 6003516,"чай черный greenfield golden ceylon листовой, 100г / 2 шт по 100 гр",100 | 20 | 6003516,100 | 1095 | 2 | 25 | 3 | 5,,
C069,numeric_or_unit_conflict,Бытовая химия,0,abc / кондиционер для белья,abc кондиционер для белья 2000 мл,13 | 1440 | 15 | 1550 | 32 | 36 | 5 | 8,1 | 12573 | 140 | 15 | 20 | 2000 | 2100 | 30 | 330 | 5 | 70,,
C070,numeric_or_unit_conflict,Бытовая химия,0,"ммз, мыло хозяйственное, гост-30266-95 65%, 180 грамм, 60 штук в упаковке","московский мыловаренный завод мыло хозяйственное гост-30266-2017 72%, 200 г",1632466 | 180 | 251 | 30266 | 60 | 65 | 95,0.2 | 200 | 2017 | 30266 | 72,6х3х9 | sl163246660sl1449p1251 | гост3026695,гост302662017
C071,numeric_or_unit_conflict,Мебель,0,без бренда шкаф-пенал трикс левый цвет дуб крафт серый 500-550-2000 наполнение белье,шкаф-пенал трикс левый цвет дуб крафт серый 400-520-2000 наполнение белье,1 | 200 | 2000 | 50 | 500 | 55 | 550 | 65,200 | 2000 | 24 | 40 | 400 | 50000 | 50898 | 52 | 520 | 6543117302,210х65х10,
C072,numeric_or_unit_conflict,Мебель,0,шкаф трикс 3 цвет дуб крафт золотой и белый 1200-550-2100 наполнение платье/белье,без бренда шкаф трикс 3 цвет дуб крафт золотой и белый 1200-520-2100 наполнение платье/белье/платье,120 | 1200 | 150000 | 210 | 2100 | 24 | 3 | 50614 | 55 | 550 | 6453847475,120 | 1200 | 140 | 210 | 2100 | 3 | 52 | 520,,220х62х10
C073,numeric_or_unit_conflict,Бытовая химия,0,fairy / средство для мытья посуды,"fairy средство для мытья посуды, 450 мл",13 | 18 | 25 | 37 | 3750 | 4 | 5,1 | 15 | 450 | 5,,jpyf31917
C074,sku_human_asymmetry,Электроника,0,mypads / мужская поясная сумка-борсетка-чехол borsello для blackvi...,мужская поясная сумка-борсетка-чехол mypads borsello для blackview bv6000s с несколькими отделениями на молнии и двумя большими вместительными карманами из натуральной кожи,20 | 22 | 4,186263,bv9300,bv6000s
C075,sku_human_asymmetry,Электроника,0,mypads / мужская поясная сумка-борсетка-чехол mypads borsello для ...,мужская поясная сумка-борсетка-чехол mypads borsello для blackview bv6000s с несколькими отделениями на молнии и двумя большими вместительными карманами из натуральной кожи,130 | 20 | 2017 | 3 | 5 | 60,186263,,bv6000s
C076,sku_human_asymmetry,Музыкальные инструменты,0,трости для саксофона-альт vandoren v16 sr703,трости для сопрано саксофона vandoren v16 №4 (10 шт),,10 | 110 | 30 | 4.0 | 60,sr703,
C077,sku_human_asymmetry,Музыкальные инструменты,0,"pq-6115-00 tusq верхний порожек для электрогитары, graphtech",graphtech / tusq верхний порожек для акустической/электрогитары,00 | 300 | 6115,,pq611500,
C078,sku_human_asymmetry,Музыкальные инструменты,0,"seydel sohne / губная гармошка, session steel natural minor e","10313d session steel natural minor d губная гармошка, seydel sohne",1 | 10 | 20,,,10313d
C079,sku_human_asymmetry,Автотовары,0,"lpr колодки тормозные дисковые, арт. 05p1272",ctr тормозные колодки,1438867 | 1439867 | 1459408 | 1477803 | 15662234 | 1566234 | 1682005 | 1699667 | 1756395 | 1917249,,05p1272 | 6g9012m008gd | 6g912m008ga | 6g912m008gb | 6g912m008gc | 6g912m008gd | 6g912m008gf | 6g912mm08ga | 6g912mm08gb | 6g912mm08gc | 71bg8200aa | lr003655 | lr003657 | lr003772 | lr023888 | me6g9j2m008ga | me6g9j2m008gc,
C080,sku_human_asymmetry,Бытовая химия,0,dr.tuttelle стиральный порошок,dr.tuttelle / порошок стиральный dr.tuttelle детский 900г dt030,,6 | 9 | 900,,dt030
C081,sku_human_asymmetry,Хобби и творчество,0,"лас играс головоломка «тетрис» тонкая 27х18х0,5 см","головоломка ""тетрис""",0.50 | 150 | 18 | 27 | 3 | 5,6743127,27х18х0,
C082,sku_human_asymmetry,Галантерея и аксессуары,0,omax часы наручные кварцевые has221,"наручные часы omax premium, черный",111 | 12 | 22 | 220 | 3 | 376 | 377 | 44,1 | 22 | 24 | 3 | 44 | 50,has221 | sr626,
C083,sku_human_asymmetry,Музыкальные инструменты,0,"акустическая гитара, черная, naranda  cag280bk","foix / акустическая гитара с чехлом, ремнем, тюнером, foix",1 | 1600 | 21 | 4 | 43 | 6 | 650 | 991,100 | 20 | 40,cag280bk,
C084,sku_human_asymmetry,Строительство и ремонт,0,светильник спот ambrella light techno xm1102004,"ambrella light подвесной светильник, gu5.3, 10 вт",1 | 10 | 16 | 20 | 220 | 3 | 5 | 80,1 | 10 | 2 | 220 | 3 | 4200 | 80,xm1102004,
C085,sku_human_asymmetry,Музыкальные инструменты,0,d'addario ej45c струны для классической гитары,d addario / d addario ej47 струны для классической гитары,,1,ej45c,
C086,sku_human_asymmetry,Строительство и ремонт,0,"wertmark подвесной светильник, g9, 40 вт",подвесной светильник wertmark berta we237.12.003,1 | 16.71 | 220 | 40 | 6500 | 9 | 900,12.003 | 160 | 220 | 240 | 32 | 35 | 4 | 40 | 5 | 63 | 8,,75х68х23 | ipip20 | we237
C087,sku_human_asymmetry,Музыкальные инструменты,0,струны для акустической гитары dr string vta-12/56,dr vta 11 струны для акустической гитары,1 | 12 | 56 | 6,11,vta12,
C088,sku_human_asymmetry,Аптека,0,"acuvue / контактные линзы acuvue oasys 1-day with hydraluxe, 30 шт","контактные линзы acuvue, 1 day acuvue oasys with hydraluxe , однодневные, +3.00 /14.3 /b.c 9.0, 30 шт.",0.75 | 1 | 121 | 14.3 | 15 | 30 | 38 | 8.5,1 | 121 | 14.3 | 3.00 | 30 | 38 | 9 | 9.0,1day,
C089,sku_human_asymmetry,Галантерея и аксессуары,0,thom richard очки солнцезащитные tr9517,thom richard очки солнцезащитные,1 | 100 | 14.5 | 2 | 2023 | 3 | 30 | 6,13 | 145 | 148 | 17 | 18 | 2022 | 3 | 41 | 64 | 8,mp002xm23fhw | tr9517,17g15 | tr9506
C090,sku_human_asymmetry,Музыкальные инструменты,0,vic firth pad 12h - тренировочный пэд,vic firth / vic firth pad12 односторонний тренировочный пэд,5 | 6724062221,12,multimedia5,pad12
C091,sku_human_asymmetry,Электроника,0,"картридж nv print совместимый cf360a для hp lj color m552/m553 (черный, 6000k) {40890}","nv print картридж, совместимый",40890 | 6000,6000,6000k | cf360a,
