crosscheck_index,category,band,target,llm_label,id1,id2,audit_label,confidence,note
18,Ювелирные изделия,exact_negative,0.0,0,94489315071,420906885071,0,H,"Кольца без общего артикула/дизайна; расходятся бренд, масса 1,13/1,67 г и состав камней."
19,Ювелирные изделия,exact_negative,0.0,0,214748421720,721554648737,1,M,"Вероятно одна подвеска Sokolov: серебро 925, один фианит около 4 мм, масса 0,69/0,70 г и одинаковый комплект."
20,Детские товары,exact_positive,1.0,1,146028972511,584115648796,0,M,Весна Эля «Яркий стиль 1» не подтверждена generic карточкой «яркая кукла 30 см»; общего дизайна/модели нет.
21,Детские товары,exact_positive,1.0,1,738734449854,300647765662,0,H,Blokees Classic Class One Megatron 67330 против generic/Hasbro Studio Series SS112; разные исполнения.
22,Дом и сад,exact_positive,1.0,1,738734405073,403726989513,1,H,Одна Lenardi новогодняя двухъярусная фарфоровая этажерка 25 см с ярусами 18/26 см.
23,Дом и сад,exact_positive,1.0,1,798863947303,8590043378,0,L,"Обе картины 44×55 на подрамнике, но сюжет/изображение недоступны; размер без дизайна не идентифицирует картину."
24,Канцелярские товары,exact_positive,1.0,1,549755959155,369367269531,1,M,"Совпадают ArtFox Study, чёрный цилиндрический пенал из экокожи 19×6 см с одним отделением."
25,Канцелярские товары,exact_positive,1.0,1,730144547671,446676715382,1,H,"Один набор: 12 синих стираемых гелевых ручек Kuromi, линия 0,5 мм."
26,Красота и гигиена,exact_positive,1.0,1,695784789462,773094163893,0,M,Карточка Fa 50 мл без линии/аромата не доказывает вариант «Прозрачная защита»; у бренда много роликовых дезодорантов.
27,Мебель,exact_positive,1.0,1,17180034267,738734404500,1,H,"Один пластиковый узкий шкаф для ванной: 10×45×72 см; назначение, материал и габариты совпадают полностью."
28,Мебель,exact_positive,1.0,1,274878017357,627065293986,1,H,"Один гамак ECOS HAM-08: полотно с деревянной планкой, 200×100 см, нагрузка 100 кг."
29,Мебель,exact_positive,1.0,1,292057777440,549755890916,1,H,"Один шкаф Мори-10 МебельЛэнд24: кашемир, 132×45×250 см, трёхдверный ЛДСП."
30,Обувь,exact_positive,1.0,1,670014908705,188978649261,1,H,Код Jordan DJ5982-400 соответствует синему Air Jordan 13 Retro; различия размера обуви soft.
31,Обувь,exact_positive,1.0,1,755914356326,618475426520,1,M,Одна базовая модель Nike Air Max 97; цветовой вариант обуви при точной модели считаю soft по инструкции.
32,Продукты питания,exact_positive,1.0,1,541166031027,42949743529,1,H,"Один набор Дядя Ваня: халапеньо 350 г, две банки; 1250 г в слабом поле A — ошибка источника."
33,Продукты питания,exact_positive,1.0,1,687194936040,94489344581,1,H,Один набор печенья Коломенское Классическое: 240 г × 6 упаковок.
34,Спорт и отдых,exact_positive,1.0,1,360777341081,532575967503,1,H,Один полиэтиленовый топливный бак 12 л: 270×360 мм и то же назначение для подвесного мотора.
35,Хобби и творчество,exact_positive,1.0,1,446676672509,412316966129,1,H,"Одна Elispaint «Девушка в рубашке»: 40×50 см, 22 цвета, сложность 3, холст и акрил."
36,Электроника,exact_positive,1.0,1,8590024998,575525767523,1,H,"Полностью совпадает Xiaomi Redmi Note 13 Pro+ 5G EAC, 8/256 ГБ, чёрный, Dimensity 7200 Ultra."
37,Электроника,exact_positive,1.0,1,472446465484,403726977101,1,H,"Один Xerox B315dni: A4 mono 40 стр/мин, duplex, Wi-Fi/Ethernet и 600×600 dpi."
38,Электроника,exact_positive,1.0,1,695784835112,781684178260,1,H,"Один Epson EcoTank Pro M15180/C11CJ41406: A3+, duplex, Wi-Fi, одинаковые размеры и масса."
39,Ювелирные изделия,exact_positive,1.0,1,171798764913,231928362572,0,M,Конкретный артикул Красной Пресни 23815045 не подтверждён второй generic карточкой кольца без дизайна/parent-кода.
40,Детские товары,uncertain_negative,0.3333333333333333,0,197568559032,532576045348,0,M,"Белые интерактивные кролики похожи, но QQ 18 см и ABtoys PT-01797 без общего производственного кода/полного отпечатка."
41,Детские товары,uncertain_negative,0.4444444444444444,0,214748500651,618475440154,0,H,"Generic мягконабивной пупс 22,5 см и generic звуковой пупс без общей модели и согласованной конструкции."
42,Дом и сад,uncertain_negative,0.3333333333333333,0,146029046396,704374675576,1,M,"Одна система на 10 растений: шланг 10 м и совпадающий комплект капельниц/тройников; 0,4/2 бар похоже на шум поля."
43,Дом и сад,uncertain_negative,0.2222222222222222,0,188978608747,601295435798,0,H,Гирлянды-шторы разных размеров: 3×2 м против 3×3 м.
44,Дом и сад,uncertain_negative,0.2222222222222222,0,670014976930,523986031423,0,H,"Сетка 3×10 м, но разная критичная плотность: 55 против 35 г/м²."
45,Канцелярские товары,uncertain_negative,0.2222222222222222,0,403726951219,609885519795,0,H,"Brauberg 15×8 листов, но картон мелованный глянцевый против явно немелованного."
46,Мебель,uncertain_negative,0.2222222222222222,0,446676698946,120259203547,0,H,"Точная Liga-036 совпадает, но hard-варианты мебели различаются: бежевый велюр против серой искусственной замши."
47,Музыкальные инструменты,uncertain_negative,0.3333333333333333,0,231928239963,85899493533,0,M,Тональность C и коричневый цвет недостаточны: generic духовой инструмент не доказывает конкретную окарину alto C.
48,Одежда,uncertain_negative,0.3333333333333333,0,34359786182,309237687879,0,M,Nordski чёрные softshell-брюки без общей модели; сезон и застёжка расходятся: любой/молния против зима/шнуровка.
49,Одежда,uncertain_negative,0.3333333333333333,0,163208821570,438086667038,0,H,"Футболки разных брендов и кроя: полуприлегающая D против оверсайз Minaku, несмотря на общий состав и цвет."
50,Одежда,uncertain_negative,0.4444444444444444,0,386547091904,730144563867,0,H,Худи разных брендов 1st Multibrand и Iksel; общие цвет/хлопок/свободный крой не задают модель.
51,Продукты питания,uncertain_negative,0.3333333333333333,0,317827687961,601295467274,0,H,"Красный Мак одной рецептуры, но фасовка 1000 г против 500 г."
52,Спорт и отдых,uncertain_negative,0.2222222222222222,0,712964679755,575525744837,0,H,"BAT Imba Swim ISM120 по 5 шт., но разные коды расцветки 383 и 36 — hard-вариант приманки."
53,Строительство и ремонт,uncertain_negative,0.4444444444444444,0,541165992328,489626409820,0,H,Ceresit CT17 Transparent против CT17 Concentrate 5 л; форма выпуска/фасовка различаются.
54,Товары для животных,uncertain_negative,0.2222222222222222,0,652835076997,395136993514,0,H,Homepet переноски разных размеров: 35×22×23 см против 43×26×27 см.
55,Товары для животных,uncertain_negative,0.4444444444444444,0,695784732262,352187326060,0,H,"Тот же типоразмер лотка, но явные варианты цвета расходятся: серый против белого; title B подтверждает белый."
56,Хобби и творчество,uncertain_negative,0.2222222222222222,0,506806271365,498216317532,0,M,"Шахматы 20×20 похожи, но A нескладные с ящиками и латунью, B generic деревянные без этой конструкции."
57,Хобби и творчество,uncertain_negative,0.2222222222222222,0,558345774454,377957196413,0,H,"Frozen-мозаики разных форматов: открытка 22×30, частичная, 6 цветов против 20×25 и 8 цветов."
58,Ювелирные изделия,uncertain_negative,0.4444444444444444,0,326417542967,652835160213,0,H,"Prima Exclusive без общего артикула: 041619, 2,36 г против seller-кода 190-1-783Р, 3,04 г; дизайн не доказан."
59,Ювелирные изделия,uncertain_negative,0.4444444444444444,0,635655252236,94489309312,0,M,"Generic кольцо Sokolov 1,82 г не доказывает модель 94010862 весом 2,06 г; общего parent article нет."
60,Детские товары,uncertain_positive,0.8888888888888888,1,94489298794,575525679322,1,M,"Один CS:GO-набор: автомат, резинкострел и набор ножей; перечисление B совпадает с title/хештегами A."
61,Канцелярские товары,uncertain_positive,0.5555555555555556,1,335007596860,833223687733,0,H,"Calligrata A4 на 13 отделений, но серии и толщина разные: «Акварель» 0,7 мм против Top Deluxe 1 мм."
62,Красота и гигиена,uncertain_positive,0.8888888888888888,1,120259218125,541166025438,1,M,Один аромат Tom Ford Costa Azzurra 100 мл; страна UAE во второй карточке выглядит полем продавца/источника.
63,Мебель,uncertain_positive,0.8888888888888888,1,42949765576,429496782628,1,H,"Одна Solarius односпальная кровать 80×200: 90×80×210, светло-серая, без матраса, ящика и подъёма, масса 28,5 кг."
64,Музыкальные инструменты,uncertain_positive,0.5555555555555556,1,515396199436,146028962865,0,M,"Generic 25-клавишная MIDI-клавиатура не идентифицирует M-Vave i9102; бренд, интерфейсы и модель A отсутствуют."
65,Музыкальные инструменты,uncertain_positive,0.5555555555555556,1,841813702378,592705553681,0,H,"Generic каподастры «акула» без общей модели, причём размеры расходятся: 130×85×18 против 145×100×20 мм."
66,Обувь,uncertain_positive,0.8888888888888888,1,721554511783,317827721322,1,H,Одна модель Adidas Originals Adimatic тёмно-коричневого цвета; отсутствие размера B не конфликт.
67,Одежда,uncertain_positive,0.8888888888888888,1,481036361112,687194862263,0,H,"Generic чёрные трусы не доказывают Face ID стринги; нет общего бренда, модели и кроя."
68,Одежда,uncertain_positive,0.8888888888888888,1,652835056777,163208842552,1,M,"Вероятно одни Conte: 15 den, ash-brown, средняя посадка, тот же состав/страна; шортики в B просто не указаны."
69,Продукты питания,uncertain_positive,0.8888888888888888,1,154618847413,103079361809,1,H,"Один чай Майский «Корона Российской Империи», чёрный крупнолистовой, 200 г, одна пачка."
70,Спорт и отдых,uncertain_positive,0.8888888888888888,1,146028929443,25769923634,1,H,"Один Bestway 58013: сачок, щётка и ручка/держатель 167 см."
71,Строительство и ремонт,uncertain_positive,0.8888888888888888,1,352187445051,214748422970,1,H,Один набор Forsage Profi F7002: две магнитные отвёртки SL6.5×125 и PH2×125.
72,Товары для животных,uncertain_positive,0.5555555555555556,1,68719614577,489626340045,0,H,Generic канатная игрушка mix не доказывает конструкцию «восьмёрка с мячом» 28 см/170 г бренда Пижон.
73,Товары для животных,uncertain_positive,0.8888888888888888,1,249108231523,592705583517,1,M,"Точное редкое имя рулетки «Зарница», 3 м, до 11,5 кг, чёрно-синяя; оранжевый в A — одиночное ошибочное поле."
74,Хобби и творчество,uncertain_positive,0.8888888888888888,1,8590086360,652835093341,1,M,"Один сюжет «Маугли Балу Ка»: 40×50, 22 цвета, сложность 3, акрил и холст; Artграфика выглядит продавцом."
75,Электроника,uncertain_positive,0.5555555555555556,1,498216233405,841813736770,0,M,"Совпадают тип и Tecno Camon 40, но принт — hard-вариант: у A код art2050, в B рисунок не идентифицирован."
76,Электроника,uncertain_positive,0.8888888888888888,1,601295500378,360777328402,0,H,"N16Q2 — совместимый ноутбук, не модель БП; ток 3,42/3 А конфликтует, штекер 5,5×1,5 во второй не подтверждён."
77,Ювелирные изделия,uncertain_positive,0.8888888888888888,1,523986061267,438086677975,0,M,"Svetlov серебряные сердца с фианитами без общего артикула/геометрии; массы 0,63 и 0,50 г различаются."
78,Ювелирные изделия,uncertain_positive,0.5555555555555556,1,558345838479,627065298568,0,M,Базовое обручальное кольцо Dialvi без общего parent article; «широкое» и дизайн во второй карточке не подтверждены.
79,Ювелирные изделия,uncertain_positive,0.8888888888888888,1,764504210473,472446433566,0,H,"Разные заявленные производители Ankanex и Aquamarine 31173-AQ2; общих типа, серебра и массы недостаточно для дизайна."
