example_group,rule_id,canonical_rule,concept,relation,global_support,global_positive,global_negative,category_count,single_difference_support,max_2_differences_support,strong_multi_difference_support,global_effect,global_effect_median,global_effect_low_95,global_effect_high_95,global_effect_sd,global_probability_positive,global_probability_negative,example_pair_ids,heterogeneity_tau2,scope_candidate,posterior_direction_signal,effect_class_placeholder,uncertainty,stability_placeholder,abs_effect
NEGATIVE,rule_894629acee5b9a10,cpu_model has different explicit values,cpu_model,different_value,164,0,164,1,0,0,164,-5.4855120013147785,-4.9957463977006675,-10.972109695170243,-2.592313925702484,2.194648252914623,0.0,1.0,"[""rp_ad965aac8af0dd01c769c8e4"", ""rp_58b7fe5bb5df1272c8f7bbb2"", ""rp_96b2b398cd65be1ef60cbade"", ""rp_6c9753d4ff3baf5d1b5e082b"", ""rp_930e45c17a648ca82425269d""]",0.0,UNCERTAIN,NEGATIVE,UNCERTAIN,8.379795769467759,NOT_CHECKED_RULE_INTERNAL_VALIDATION,
NEGATIVE,rule_0b37676997f994d6,ram_type has different explicit values,ram_type,different_value,135,0,135,1,0,0,135,-5.305636697596753,-4.84503399367043,-10.69777481661159,-2.4302583784179106,2.205870307873172,0.0,1.0,"[""rp_b6e5da8ef0a8904820c45480"", ""rp_9bc6b1c63b1c11788d7eedeb"", ""rp_b73aa0520ce7b8ad39f87285"", ""rp_5fde3c2a8c15b90976915f42"", ""rp_56448126c8b767942cdc98a0""]",0.0,UNCERTAIN,NEGATIVE,UNCERTAIN,8.26751643819368,NOT_CHECKED_RULE_INTERNAL_VALIDATION,
NEGATIVE,rule_cf475e092be650be,chipset has different explicit values,chipset,different_value,129,0,129,1,0,1,128,-5.269852965337152,-4.77147946694742,-11.056948062716994,-2.399202817480828,2.231080452915621,0.0,1.0,"[""rp_b6e5da8ef0a8904820c45480"", ""rp_9bc6b1c63b1c11788d7eedeb"", ""rp_ad965aac8af0dd01c769c8e4"", ""rp_5fde3c2a8c15b90976915f42"", ""rp_942b4000c7da95ab227db4f4""]",0.0,UNCERTAIN,NEGATIVE,UNCERTAIN,8.657745245236166,NOT_CHECKED_RULE_INTERNAL_VALIDATION,
NEGATIVE,rule_4137453645248326,instrument_size has different explicit values,instrument_size,different_value,66,0,66,1,2,5,61,-4.877078928111175,-4.397972473643351,-10.618637375412689,-2.002346912679192,2.2165229454725144,0.0,1.0,"[""rp_33d23571056b7296bcebd878"", ""rp_0617b1b7e719c0cab7b90e1d"", ""rp_dcbcf7462fb8a77990109446"", ""rp_5b02f58915625edb2a28e038"", ""rp_75c33b53c8950aa0d3360a8d""]",0.0,UNCERTAIN,NEGATIVE,UNCERTAIN,8.616290462733497,NOT_CHECKED_RULE_INTERNAL_VALIDATION,
NEUTRAL,rule_d093a39d91c26d8a,brush_size_number is explicitly known on only one side,brush_size_number,missing_one_side,12,4,8,2,1,2,10,-0.022350955242472326,-6.464043704973443e-05,-1.3128132131201142,1.1698298987648457,0.6247293375057947,0.5,0.5,"[""rp_53c58061091ede622409a8cc"", ""rp_1d4355bf9c5d6dd8170feda5"", ""rp_fc760e64b50c5c89fb8f13ab"", ""rp_f7a3c1d1845774383bdf3db2"", ""rp_5d53c729f98cf8c0afb808e8""]",0.0,UNCERTAIN,NO_CLEAR_DIRECTION,UNCERTAIN,2.48264311188496,NOT_CHECKED_RULE_INTERNAL_VALIDATION,6.464043704973443e-05
NEUTRAL,rule_1e045afe4ca166ab,part_number_analog has different explicit values,part_number_analog,different_value,1,0,1,1,0,0,1,-0.4120446388731594,-0.00027367413712942046,-6.272559407700698,3.423150208823132,2.485104777828294,0.4998,0.5002,"[""rp_33885af66f632969a7885e92""]",0.0,UNCERTAIN,NO_CLEAR_DIRECTION,UNCERTAIN,9.69570961652383,NOT_CHECKED_RULE_INTERNAL_VALIDATION,0.00027367413712942046
NEUTRAL,rule_eab3034173f10180,technology is explicitly known on only one side,technology,missing_one_side,2,0,2,1,0,0,2,-0.4299935344973106,-0.00038856871835735163,-6.34294139096472,2.9701448540880975,2.3628606725229013,0.4998,0.5002,"[""rp_879718839dc7833874db3c8d"", ""rp_020af841833f54bfd237e1ec""]",0.0,UNCERTAIN,NO_CLEAR_DIRECTION,UNCERTAIN,9.313086245052817,NOT_CHECKED_RULE_INTERNAL_VALIDATION,0.00038856871835735163
NEUTRAL,rule_66249918cfcef3b3,bracelet_size_mm has different explicit values,bracelet_size_mm,different_value,1,0,1,1,0,0,1,-0.34967147077918836,0.0003930204230037093,-6.067687489049994,3.26728865938629,2.3615382669293994,0.5002,0.4998,"[""rp_1cff0f01ca9185fbf799312f""]",0.0,UNCERTAIN,NO_CLEAR_DIRECTION,UNCERTAIN,9.334976148436283,NOT_CHECKED_RULE_INTERNAL_VALIDATION,0.0003930204230037093
NEUTRAL,rule_d04b4fed5cd28549,frame_hinge_type is explicitly known on only one side,frame_hinge_type,missing_one_side,1,0,1,1,0,0,1,-0.3744259552409472,0.00040054829247204715,-5.952850778490163,3.394087573626039,2.4138073889533187,0.5002,0.4998,"[""rp_cdea6674f54f2dd854a274fb""]",0.0,UNCERTAIN,NO_CLEAR_DIRECTION,UNCERTAIN,9.3469383521162,NOT_CHECKED_RULE_INTERNAL_VALIDATION,0.00040054829247204715
NEUTRAL,rule_b07aaf3fe69d54d1,leash_width is explicitly known on only one side,leash_width,missing_one_side,3,1,2,1,0,0,3,-0.05351024394373969,-0.0005226139179089762,-2.6401033864778976,2.205809348142215,1.2046300338396472,0.4998,0.5002,"[""rp_34123cad838f41937bb88be5"", ""rp_137a2539907446ba248e8d50"", ""rp_be76a60cccb259a1411e2dbc""]",0.0,UNCERTAIN,NO_CLEAR_DIRECTION,UNCERTAIN,4.8459127346201125,NOT_CHECKED_RULE_INTERNAL_VALIDATION,0.0005226139179089762
NEUTRAL,rule_f8124c870c0610cd,processing_type has different explicit values,processing_type,different_value,4,1,3,1,0,0,4,-0.07387784622424895,-0.000536782048083273,-2.5307238599048785,1.9463978880171338,1.1502435006418896,0.4998,0.5002,"[""rp_4ec52f094561214766e3a1a3"", ""rp_83a3a037aaab908994125f1b"", ""rp_e582008be158fea0723f00e1"", ""rp_c83e359121c20e20ba9520c1""]",0.0,UNCERTAIN,NO_CLEAR_DIRECTION,UNCERTAIN,4.477121747922013,NOT_CHECKED_RULE_INTERNAL_VALIDATION,0.000536782048083273
NEUTRAL,rule_d3c1d648e1cc1a0f,total_width_cm has different explicit values,total_width_cm,different_value,1,0,1,1,0,0,1,-0.358255566403455,0.001026538266749144,-6.205568161075532,3.390196269821618,2.4346377435683424,0.5004,0.4996,"[""rp_470a1f9303e3370430349396""]",0.0,UNCERTAIN,NO_CLEAR_DIRECTION,UNCERTAIN,9.59576443089715,NOT_CHECKED_RULE_INTERNAL_VALIDATION,0.001026538266749144
UNCERTAIN,rule_17f5d9f2ecceb53c,has_led_lighting is explicitly known on only one side,has_led_lighting,missing_one_side,1,0,1,1,0,0,1,-0.9864223971978179,-0.6012133133105206,-7.4375274961123425,2.9128547150216884,2.537522064861336,0.3808,0.6192,"[""rp_77f1b76aa33a9cbe396e1809""]",0.0,UNCERTAIN,NO_CLEAR_DIRECTION,UNCERTAIN,10.350382211134031,NOT_CHECKED_RULE_INTERNAL_VALIDATION,
UNCERTAIN,rule_626338cbf59a1ddb,efficiency_certification has different explicit values,efficiency_certification,different_value,1,0,1,1,0,0,1,-0.48725052106458006,-0.1569855582087899,-6.998390066493598,3.3281993908444276,2.5066934753205072,0.4736,0.5264,"[""rp_cf4565f5e2ce0eeba76f1210""]",0.0,UNCERTAIN,NO_CLEAR_DIRECTION,UNCERTAIN,10.326589457338025,NOT_CHECKED_RULE_INTERNAL_VALIDATION,
UNCERTAIN,rule_d3c64ee51eced4a8,belt_width_cm is explicitly known on only one side,belt_width_cm,missing_one_side,1,0,1,1,0,0,1,-0.9458518713071397,-0.5477923787145896,-7.364907053774421,2.9388750889170923,2.525406188115793,0.3822,0.6178,"[""rp_3cdedbcb17619cf4b3e08eba""]",0.0,UNCERTAIN,NO_CLEAR_DIRECTION,UNCERTAIN,10.303782142691514,NOT_CHECKED_RULE_INTERNAL_VALIDATION,
UNCERTAIN,rule_0dc735cff4730ebe,horizontal_view_angle is explicitly known on only one side,horizontal_view_angle,missing_one_side,1,0,1,1,0,0,1,-0.4574834130460745,-0.047799025326766276,-7.000263670597059,3.2804547408412237,2.4961353330056526,0.4908,0.5092,"[""rp_839825e50cb4a9b59008975d""]",0.0,UNCERTAIN,NO_CLEAR_DIRECTION,UNCERTAIN,10.280718411438283,NOT_CHECKED_RULE_INTERNAL_VALIDATION,
UNCERTAIN,rule_cc11ca648570a820,figures_included is explicitly known on only one side,figures_included,missing_one_side,1,1,0,1,0,0,1,1.7753227478625533,1.3900613549641558,-2.1036428490861656,8.173238968513928,2.55015267543485,0.7648,0.2352,"[""rp_7f318438722cb1bcbce8b94f""]",0.0,UNCERTAIN,NO_CLEAR_DIRECTION,UNCERTAIN,10.276881817600094,NOT_CHECKED_RULE_INTERNAL_VALIDATION,
UNCERTAIN,rule_7641e548bb4e81f6,section_width has different explicit values,section_width,different_value,1,0,1,1,0,0,1,-0.481297035104443,-0.06276307232714773,-6.876274740621841,3.3952336177717513,2.5108378249382115,0.4872,0.5128,"[""rp_bc1f36b42b0cc81678dc2dc3""]",0.0,UNCERTAIN,NO_CLEAR_DIRECTION,UNCERTAIN,10.271508358393593,NOT_CHECKED_RULE_INTERNAL_VALIDATION,
UNCERTAIN,rule_1df19937a212cf42,processor_line has different explicit values,processor_line,different_value,1,0,1,1,0,0,1,-0.40374235768699274,-0.035278107379692725,-6.868935266579292,3.3886168356103012,2.499673189227333,0.4938,0.5062,"[""rp_5fde3c2a8c15b90976915f42""]",0.0,UNCERTAIN,NO_CLEAR_DIRECTION,UNCERTAIN,10.257552102189594,NOT_CHECKED_RULE_INTERNAL_VALIDATION,
UNCERTAIN,rule_555ed42aea34e9f6,test_weight_range is explicitly known on only one side,test_weight_range,missing_one_side,1,1,0,1,0,0,1,3.024381707135527,2.6178103226230416,-0.746942190930159,9.48147439362558,2.502404178557152,0.941,0.059,"[""rp_d895d4f944bca461ba162906""]",0.0,UNCERTAIN,NO_CLEAR_DIRECTION,UNCERTAIN,10.22841658455574,NOT_CHECKED_RULE_INTERNAL_VALIDATION,
HETEROGENEOUS,rule_0a862a81c61e7fbd,optical_power has different explicit values,optical_power,different_value,1782,3,1779,3,72,252,1530,-3.836138882300821,-3.777902796180895,-5.0835869308636275,-2.855188976895016,0.5746287916426347,0.0,1.0,"[""rp_81962a2329bad1c1b38dc5a2"", ""rp_d3a6780abc20142bbb6f7fb1"", ""rp_7f4421d9fb66f9687b77b136"", ""rp_1a7c54621069e800ac6a3dc0"", ""rp_1efbe949a4ee5389a38e98ab""]",6.937632853928265,UNCERTAIN,NEGATIVE,UNCERTAIN,2.2283979539686114,NOT_CHECKED_RULE_INTERNAL_VALIDATION,
HETEROGENEOUS,rule_af84806c6fe1d54c,max_pressure has different explicit values,max_pressure,different_value,12,1,11,3,0,3,9,-1.1254332855672233,-1.0035114337351354,-3.4862859730631475,0.5204252820464229,1.0107935429329762,0.1098,0.8902,"[""rp_52cc504e502e24a13d37f545"", ""rp_f28b3d68c5857324aa43b63c"", ""rp_ca08439a2215fe14d63c5b19"", ""rp_829a3abaf7d8b210b848e62e"", ""rp_bfd0e0fe69669b6af1437a53""]",2.7877411769212133,UNCERTAIN,NO_CLEAR_DIRECTION,UNCERTAIN,4.00671125510957,NOT_CHECKED_RULE_INTERNAL_VALIDATION,
HETEROGENEOUS,rule_c8279513c21f3c1b,needle_diameter has different explicit values,needle_diameter,different_value,72,5,67,2,3,23,49,-2.410679615295912,-2.37749549226065,-3.428128272143889,-1.5857120480611517,0.4701478228937367,0.0,1.0,"[""rp_8455c3fe186cf5f384e70721"", ""rp_12bde0c395f2eeecbdce8fa0"", ""rp_de677b33947d534a25422c6b"", ""rp_ebfed60aac32a73d619466bb"", ""rp_0dee8c71bd171bd488588d05""]",2.4107007366107904,UNCERTAIN,NEGATIVE,UNCERTAIN,1.842416224082737,NOT_CHECKED_RULE_INTERNAL_VALIDATION,
HETEROGENEOUS,rule_07561cc123d9f0b7,min_players is explicitly known on only one side,min_players,missing_one_side,46,44,2,2,0,3,43,3.217220759240238,3.1504226634935844,2.014542848433344,4.772278255533218,0.7193661529632782,1.0,0.0,"[""rp_b338af6cd74dc58b32841a95"", ""rp_db1cb892e539f5511e3ff58f"", ""rp_fe63d98aa2531c87c5650421"", ""rp_6e50ef59302304987db0bc6e"", ""rp_21213903e79d338b7a398cbf""]",2.358301617733848,UNCERTAIN,POSITIVE,UNCERTAIN,2.7577354070998736,NOT_CHECKED_RULE_INTERNAL_VALIDATION,
HETEROGENEOUS,rule_3427c70bcd479466,min_age has conflicting title/attribute sources,min_age,conflicting_sources,12,10,2,3,2,8,4,1.7401686635293017,1.6684128834445222,0.354419844207563,3.4637472772866755,0.7807064783585529,0.9952,0.0048,"[""rp_6ec00b2cf1034cbc214b4236"", ""rp_a831514a326da71285a7a2ca"", ""rp_3a699385e598379628b5d533"", ""rp_cb33bccbce28dbab3ae0e63f"", ""rp_a1af35e7c11a120dcbc1a6ab""]",2.3416429672605457,UNCERTAIN,POSITIVE,UNCERTAIN,3.1093274330791125,NOT_CHECKED_RULE_INTERNAL_VALIDATION,
HETEROGENEOUS,rule_c76040ab03083356,base_type is explicitly known on only one side,base_type,missing_one_side,22,9,13,6,0,5,17,0.8526839437707804,0.8511930208798202,-0.017796066893049828,1.7058255187733882,0.4328372873940141,0.9734,0.0266,"[""rp_df88632112027e3b8aa5a251"", ""rp_d2b167dba9ab8e7115c0d7d4"", ""rp_ad607510ebfbbf838215f73a"", ""rp_d68c1d3605b0366960c5d0ae"", ""rp_a06f2cd2c44148c84b9f5e0f""]",2.207649412135545,UNCERTAIN,NO_CLEAR_DIRECTION,UNCERTAIN,1.723621585666438,NOT_CHECKED_RULE_INTERNAL_VALIDATION,
HETEROGENEOUS,rule_f534014cab740046,included_accessory has different explicit values,included_accessory,different_value,4,1,3,2,0,2,2,-1.0059948459429897,-0.9174230060029837,-3.4743177421833664,0.9623647059789799,1.1229387699490923,0.176,0.824,"[""rp_1cde7c7bb5edce83f4f80dbc"", ""rp_dbe7d1be17636913558a0333"", ""rp_2a2bf8d660f8fe3f8cdd2c4a"", ""rp_14ba6613875864909983a884""]",2.0476569262212427,UNCERTAIN,NO_CLEAR_DIRECTION,UNCERTAIN,4.436682448162347,NOT_CHECKED_RULE_INTERNAL_VALIDATION,
HETEROGENEOUS,rule_271695745200ae80,dial_indication is explicitly known on only one side,dial_indication,missing_one_side,8,1,7,2,0,0,8,-0.2511292679384944,-0.14732996761863137,-2.572501503852462,1.4531513030298886,1.0343758628707171,0.442,0.558,"[""rp_f2cf37460871179732da0fbd"", ""rp_47fd698fe5e4f0a238b49063"", ""rp_7e5c8ffc9b2c3cfd4f424d2f"", ""rp_c93bfdb706add01dc44f2fec"", ""rp_443d5132aea4a4da1c10e0a8""]",2.008932702591567,UNCERTAIN,NO_CLEAR_DIRECTION,UNCERTAIN,4.02565280688235,NOT_CHECKED_RULE_INTERNAL_VALIDATION,
