rule_id,canonical_rule,concept,relation,semantic_family,selection_tier,global_support,global_positive,global_negative,single_difference_support,max_2_differences_support,global_effect_median,scope_candidate_frozen,validation_support,validation_positive,validation_negative,validation_max_2_differences_support,validation_effect_median,validation_stability,allowed_categories,core_alias_of,generation_guard
rule_bb2f42faedb2794f,lens_power has different explicit values,lens_power,different_value,,EXCLUDED_CORE_ALIAS,303,1,302,9,42,-2.9802389237624873,CATEGORY_SPECIFIC,11,0,11,2,-1.9673688911415277,SAME_DIRECTION_WEAK,"[""Аптека""]",optical_power,
rule_1602b0a85156ffb7,sphere_power has different explicit values,sphere_power,different_value,,EXCLUDED_CORE_ALIAS,367,3,364,4,62,-2.1879718855566517,CATEGORY_SPECIFIC,12,0,12,3,-2.0430912636858505,SAME_DIRECTION_WEAK,"[""Аптека""]",optical_power,
rule_29f632198488660a,paper_format has different explicit values,paper_format,different_value,dimensional_spec,RARE_EXPERIMENTAL_NEEDS_CLEAN_VALIDATION,52,3,49,4,14,-2.065038866777086,CATEGORY_SPECIFIC,3,0,3,0,-1.9107683155941386,SAME_DIRECTION_WEAK,"[""Канцелярские товары""]",,"Change the named product dimension in the same unit; reject package dimensions, approximate measurements and missing values."
rule_bf4e1af70a1cb5c8,line_diameter has different explicit values,line_diameter,different_value,dimensional_spec,RARE_EXPERIMENTAL_NEEDS_CLEAN_VALIDATION,53,5,48,0,17,-1.1876532263206236,CATEGORY_SPECIFIC,3,0,3,0,-1.6188050720920453,SAME_DIRECTION_WEAK,"[""Спорт и отдых""]",,"Change the named product dimension in the same unit; reject package dimensions, approximate measurements and missing values."
rule_881b64caa04f7de6,bed_width has different explicit values,bed_width,different_value,dimensional_spec,RARE_EXPERIMENTAL_NEEDS_CLEAN_VALIDATION,65,1,64,4,14,-2.258624809022107,CATEGORY_SPECIFIC,4,0,4,0,-1.1187170909666588,SAME_DIRECTION_WEAK,"[""Мебель""]",,"Change the named product dimension in the same unit; reject package dimensions, approximate measurements and missing values."
rule_4137453645248326,instrument_size has different explicit values,instrument_size,different_value,instrument_spec,RARE_EXPERIMENTAL_NEEDS_CLEAN_VALIDATION,66,0,66,2,5,-4.397972473643351,CATEGORY_SPECIFIC,4,0,4,0,-1.4056051762206776,SAME_DIRECTION_WEAK,"[""Музыкальные инструменты""]",,"Choose two valid but distinct values for the same instrument subtype and keep instrument family, brand and model context fixed."
rule_86a804769b0751e4,breaking_load has different explicit values,breaking_load,different_value,technical_spec,RARE_EXPERIMENTAL_NEEDS_CLEAN_VALIDATION,73,4,69,0,18,-1.761582269949777,CATEGORY_SPECIFIC,6,1,5,0,-0.4438155685649896,SAME_DIRECTION_WEAK,"[""Спорт и отдых""]",,Change one normalized technical specification with the same unit and measurement definition; reject ranges that overlap.
rule_52a175a4ffef0a5d,tea_type has different explicit values,tea_type,different_value,consumable_variant,RARE_EXPERIMENTAL_NEEDS_CLEAN_VALIDATION,80,9,71,3,15,-1.0565123961593152,CATEGORY_SPECIFIC,5,1,4,0,-0.19361613135080274,SAME_DIRECTION_WEAK,"[""Продукты питания""]",,"Choose mutually exclusive explicit variants, not synonyms, mixtures, assortments or a broad value containing the narrow value."
rule_5af69a5fb1bf105b,curtain_width has different explicit values,curtain_width,different_value,dimensional_spec,RARE_EXPERIMENTAL_NEEDS_CLEAN_VALIDATION,112,0,112,3,7,-5.174849941133421,CATEGORY_SPECIFIC,6,0,6,0,-2.372541519767654,SAME_DIRECTION_WEAK,"[""Дом и сад""]",,"Change the named product dimension in the same unit; reject package dimensions, approximate measurements and missing values."
rule_f14d19617e2b7dd1,page_yield has different explicit values,page_yield,different_value,consumable_compatibility,RARE_EXPERIMENTAL_NEEDS_CLEAN_VALIDATION,113,4,109,0,5,-1.7054884748752392,CATEGORY_SPECIFIC,4,0,4,0,-1.1690049392425232,SAME_DIRECTION_WEAK,"[""Электроника""]",,Change the exact consumable specification while preserving compatible device family and all unrelated facts.
rule_12924103538622b8,base_curve has different explicit values,base_curve,different_value,optical_prescription,RARE_EXPERIMENTAL_NEEDS_CLEAN_VALIDATION,117,2,115,0,11,-1.4178764408789921,CATEGORY_SPECIFIC,3,0,3,0,-0.7207041621003645,SAME_DIRECTION_WEAK,"[""Аптека""]",,"Change one normalized prescription parameter only, preserve sign and unit semantics, and keep all other prescription fields fixed."
rule_9a63e5a726d04290,thickness has different explicit values,thickness,different_value,dimensional_spec,RARE_EXPERIMENTAL_NEEDS_CLEAN_VALIDATION,119,6,113,1,21,-1.9540810943069147,GLOBAL,6,0,6,0,-2.248188484245885,SAME_DIRECTION_WEAK,"[""Канцелярские товары"", ""Красота и гигиена""]",,"Change the named product dimension in the same unit; reject package dimensions, approximate measurements and missing values."
rule_7af2f92316ee9d66,curtain_height has different explicit values,curtain_height,different_value,dimensional_spec,RARE_EXPERIMENTAL_NEEDS_CLEAN_VALIDATION,131,1,130,7,16,-3.6617006447304354,CATEGORY_SPECIFIC,6,0,6,0,-2.3377664316008158,SAME_DIRECTION_WEAK,"[""Дом и сад""]",,"Change the named product dimension in the same unit; reject package dimensions, approximate measurements and missing values."
rule_4a4db8f28bdd9dc0,battery_capacity has different explicit values,battery_capacity,different_value,capacity_spec,RARE_EXPERIMENTAL_NEEDS_CLEAN_VALIDATION,150,11,139,2,15,-0.996863744411761,CATEGORY_SPECIFIC,11,1,10,0,-0.7018956061278503,SAME_DIRECTION_WEAK,"[""Электроника""]",,"Use two explicit normalized capacities for the same component and unit; do not confuse device storage, RAM, card capacity or bundle capacity."
rule_591d7a3f67190d5d,wheel_diameter has different explicit values,wheel_diameter,different_value,dimensional_spec,RARE_EXPERIMENTAL_NEEDS_CLEAN_VALIDATION,159,8,151,3,11,-2.1023970147333717,GLOBAL,7,0,7,0,-2.6881048163579995,SAME_DIRECTION_WEAK,"[""Детские товары"", ""Спорт и отдых""]",,"Change the named product dimension in the same unit; reject package dimensions, approximate measurements and missing values."
rule_64032e16c06ba6cc,ssd_capacity has different explicit values,ssd_capacity,different_value,capacity_spec,RARE_EXPERIMENTAL_NEEDS_CLEAN_VALIDATION,178,2,176,0,5,-2.847376887275967,CATEGORY_SPECIFIC,10,0,10,0,-1.9644010662817257,SAME_DIRECTION_WEAK,"[""Электроника""]",,"Use two explicit normalized capacities for the same component and unit; do not confuse device storage, RAM, card capacity or bundle capacity."
rule_73c9906d6506efcd,string_gauge has different explicit values,string_gauge,different_value,instrument_spec,RARE_EXPERIMENTAL_NEEDS_CLEAN_VALIDATION,183,10,173,2,41,-1.571418801659155,CATEGORY_SPECIFIC,8,0,8,0,-2.1645277121746505,SAME_DIRECTION_WEAK,"[""Музыкальные инструменты""]",,"Choose two valid but distinct values for the same instrument subtype and keep instrument family, brand and model context fixed."
rule_9e7ea8b196b7117a,lens_type has different explicit values,lens_type,different_value,optical_prescription,RARE_EXPERIMENTAL_NEEDS_CLEAN_VALIDATION,217,3,214,0,6,-1.7267969295284198,CATEGORY_SPECIFIC,8,0,8,0,-1.630644285994621,SAME_DIRECTION_WEAK,"[""Аптека""]",,"Change one normalized prescription parameter only, preserve sign and unit semantics, and keep all other prescription fields fixed."
rule_ab95c0ea912d67a0,storage_capacity has different explicit values,storage_capacity,different_value,capacity_spec,RARE_EXPERIMENTAL_NEEDS_CLEAN_VALIDATION,224,3,221,6,31,-2.74662436362593,GLOBAL,6,0,6,0,-1.434275132345764,SAME_DIRECTION_WEAK,"[""Автотовары"", ""Электроника""]",,"Use two explicit normalized capacities for the same component and unit; do not confuse device storage, RAM, card capacity or bundle capacity."
rule_8f34258cfe0a4f40,flavor_profile has different explicit values,flavor_profile,different_value,consumable_variant,RARE_EXPERIMENTAL_NEEDS_CLEAN_VALIDATION,292,36,256,12,59,-1.1318178621972876,GLOBAL,13,2,11,0,-1.0125927428581933,SAME_DIRECTION_WEAK,"[""Продукты питания"", ""Товары для животных""]",,"Choose mutually exclusive explicit variants, not synonyms, mixtures, assortments or a broad value containing the narrow value."
rule_7d49f5a34bbfd76d,case_diameter has different explicit values,case_diameter,different_value,dimensional_spec,RARE_EXPERIMENTAL_NEEDS_CLEAN_VALIDATION,375,22,353,1,7,-1.1655466669685948,CATEGORY_SPECIFIC,15,0,15,0,-2.709400747006014,SAME_DIRECTION_WEAK,"[""Галантерея и аксессуары""]",,"Change the named product dimension in the same unit; reject package dimensions, approximate measurements and missing values."
rule_e371f7f4b943ac6a,ram_capacity has different explicit values,ram_capacity,different_value,capacity_spec,RARE_EXPERIMENTAL_NEEDS_CLEAN_VALIDATION,390,2,388,1,8,-3.623053674609025,CATEGORY_SPECIFIC,22,0,22,0,-2.7646108063640122,REPLICATED_95,"[""Электроника""]",,"Use two explicit normalized capacities for the same component and unit; do not confuse device storage, RAM, card capacity or bundle capacity."
rule_b58151b253bc8b0c,vehicle_compatibility has different explicit values,vehicle_compatibility,different_value,compatibility_target,RARE_EXPERIMENTAL_NEEDS_CLEAN_VALIDATION,414,44,370,2,53,-0.5764787960031741,CATEGORY_SPECIFIC,15,0,15,0,-2.257490681206005,SAME_DIRECTION_WEAK,"[""Автотовары""]",,Replace the exact compatible model with a different valid model; reject universal accessories and compatibility lists containing both models.
rule_3ef3ce1e761d912b,gemstone_type has different explicit values,gemstone_type,different_value,categorical_variant,RARE_EXPERIMENTAL_NEEDS_CLEAN_VALIDATION,486,18,468,1,12,-1.293236766091212,CATEGORY_SPECIFIC,30,1,29,0,-1.1570672472169254,SAME_DIRECTION_WEAK,"[""Ювелирные изделия""]",,"Choose mutually exclusive explicit category-valid values; reject synonyms, subsets and multi-value lists containing both variants."
rule_f11355f5aed07cbc,heel_height has different explicit values,heel_height,different_value,dimensional_spec,RARE_EXPERIMENTAL_NEEDS_CLEAN_VALIDATION,495,11,484,0,5,-1.5464254401634077,CATEGORY_SPECIFIC,21,0,21,0,-2.350043773111394,SAME_DIRECTION_WEAK,"[""Обувь""]",,"Change the named product dimension in the same unit; reject package dimensions, approximate measurements and missing values."
rule_f470d60a4a5c6f83,package_length has different explicit values,package_length,different_value,,RARE_EXPERIMENTAL_SEMANTIC_GUARD,24,3,21,1,6,-1.0325405883176164,CATEGORY_SPECIFIC,3,1,2,0,-0.5405809133503559,SAME_DIRECTION_WEAK,"[""Строительство и ремонт""]",,
rule_93eab4418433d2d1,color_pattern has different explicit values,color_pattern,different_value,,RARE_EXPERIMENTAL_SEMANTIC_GUARD,58,7,51,2,6,-0.8334301591171195,CATEGORY_SPECIFIC,3,0,3,1,-2.024608847045781,SAME_DIRECTION_WEAK,"[""Спорт и отдых""]",,
rule_2ee3449e691902f5,fabric_type has different explicit values,fabric_type,different_value,,RARE_EXPERIMENTAL_SEMANTIC_GUARD,80,18,62,4,12,-0.7210349533249788,CATEGORY_SPECIFIC,6,2,4,2,-0.18963403022442185,SAME_DIRECTION_WEAK,"[""Дом и сад""]",,
rule_2083280f63f7acc2,height_cm has different explicit values,height_cm,different_value,,RARE_EXPERIMENTAL_SEMANTIC_GUARD,85,7,78,2,5,-1.435312430881298,CATEGORY_SPECIFIC,8,1,7,0,-0.7495413706223506,SAME_DIRECTION_WEAK,"[""Дом и сад""]",,
rule_0d1e40609c3929eb,filler_material has different explicit values,filler_material,different_value,,RARE_EXPERIMENTAL_SEMANTIC_GUARD,86,11,75,2,5,-0.6247647842273729,UNCERTAIN,5,0,5,0,-1.2634667790522736,SAME_DIRECTION_WEAK,[],,
rule_76bce3e5791ad498,finish_type has different explicit values,finish_type,different_value,,RARE_EXPERIMENTAL_SEMANTIC_GUARD,91,13,78,0,9,-0.8136111082265021,CATEGORY_SPECIFIC,4,0,4,0,-1.5548104023413312,SAME_DIRECTION_WEAK,"[""Красота и гигиена""]",,
rule_81eb43b20ec65422,design_theme has different explicit values,design_theme,different_value,,RARE_EXPERIMENTAL_SEMANTIC_GUARD,109,8,101,2,9,-1.3771351972928474,CATEGORY_SPECIFIC,8,2,6,0,-0.11116996585310285,SAME_DIRECTION_WEAK,[],,
rule_4121b1f0e222be12,orientation has different explicit values,orientation,different_value,,RARE_EXPERIMENTAL_SEMANTIC_GUARD,147,7,140,2,7,-1.3133199835450515,CATEGORY_SPECIFIC,5,0,5,0,-1.445612060496452,SAME_DIRECTION_WEAK,"[""Мебель""]",,
rule_d0691cb200eea552,fragrance_family has different explicit values,fragrance_family,different_value,,RARE_EXPERIMENTAL_SEMANTIC_GUARD,149,41,108,3,42,-0.40982083313306317,CATEGORY_SPECIFIC,9,3,6,2,-0.03360779373466605,SAME_DIRECTION_WEAK,"[""Красота и гигиена""]",,
rule_65095f5840403051,material_type has different explicit values,material_type,different_value,,RARE_EXPERIMENTAL_SEMANTIC_GUARD,152,6,146,0,8,-1.9903745999652558,GLOBAL,10,0,10,0,-2.631178505003213,SAME_DIRECTION_WEAK,"[""Дом и сад"", ""Строительство и ремонт"", ""Хобби и творчество""]",,
rule_e9386a206fb4c758,total_weight has different explicit values,total_weight,different_value,,RARE_EXPERIMENTAL_SEMANTIC_GUARD,310,22,288,6,55,-1.8458205121816227,GLOBAL,15,1,14,5,-1.9149164115500956,SAME_DIRECTION_WEAK,"[""Бытовая химия"", ""Товары для животных""]",,
rule_a4afe31e20897c9a,material_composition has different explicit values,material_composition,different_value,,RARE_EXPERIMENTAL_SEMANTIC_GUARD,320,54,266,2,21,-0.45899303582630757,GLOBAL,19,4,15,1,-0.21776350751901474,SAME_DIRECTION_WEAK,"[""Дом и сад"", ""Хобби и творчество""]",,
rule_84b09275aed2279a,max_load has different explicit values,max_load,different_value,,RARE_EXPERIMENTAL_SEMANTIC_GUARD,336,32,304,1,10,-0.865005044283129,GLOBAL,13,1,12,0,-0.596146289389683,SAME_DIRECTION_WEAK,"[""Детские товары"", ""Мебель""]",,
rule_f6e9a265e33d8ac5,product_form has different explicit values,product_form,different_value,,RARE_EXPERIMENTAL_SEMANTIC_GUARD,425,120,305,13,90,-0.3194494922050911,GLOBAL,22,5,17,3,-0.5154848610401699,SAME_DIRECTION_WEAK,"[""Товары для животных"", ""Хобби и творчество""]",,
rule_d052156904fbe814,diameter has different explicit values,diameter,different_value,,RARE_EXPERIMENTAL_SEMANTIC_GUARD,444,41,403,10,54,-0.96704806986413,GLOBAL,21,2,19,6,-0.8648310517046878,SAME_DIRECTION_WEAK,"[""Аптека"", ""Дом и сад"", ""Музыкальные инструменты"", ""Строительство и ремонт"", ""Хобби и творчество""]",,
rule_6571ad3b5ba7aa38,key_tuning has different explicit values,key_tuning,different_value,instrument_spec,RARE_SAFE,20,1,19,1,7,-1.530949711108521,CATEGORY_SPECIFIC,4,0,4,4,-1.48084781066609,SAME_DIRECTION_WEAK,"[""Музыкальные инструменты""]",,"Choose two valid but distinct values for the same instrument subtype and keep instrument family, brand and model context fixed."
rule_e0ac5f32e0551448,pasta_shape has different explicit values,pasta_shape,different_value,consumable_variant,RARE_SAFE,24,1,23,4,8,-1.9872830683635552,CATEGORY_SPECIFIC,3,0,3,1,-1.5074171715608666,SAME_DIRECTION_WEAK,"[""Продукты питания""]",,"Choose mutually exclusive explicit variants, not synonyms, mixtures, assortments or a broad value containing the narrow value."
rule_c468e766f15511f7,compatible_phone_model has different explicit values,compatible_phone_model,different_value,compatibility_target,RARE_SAFE,25,1,24,5,10,-1.4998759151193566,CATEGORY_SPECIFIC,3,0,3,1,-0.8247639325463398,SAME_DIRECTION_WEAK,"[""Электроника""]",,Replace the exact compatible model with a different valid model; reject universal accessories and compatibility lists containing both models.
rule_43e773fb47a2bb7c,custom_name has different explicit values,custom_name,different_value,personalization,RARE_SAFE,34,0,34,3,7,-4.227910354733357,CATEGORY_SPECIFIC,3,0,3,2,-2.0753425701016424,SAME_DIRECTION_WEAK,"[""Канцелярские товары""]",,Change the explicit personalized text/name while preserving the base item; both sides must contain non-empty concrete values.
rule_8066b3533bb1cfe1,engraving_text has different explicit values,engraving_text,different_value,personalization,RARE_SAFE,38,1,37,0,6,-1.9805374102543025,CATEGORY_SPECIFIC,3,0,3,1,-1.560332294135481,SAME_DIRECTION_WEAK,"[""Галантерея и аксессуары""]",,Change the explicit personalized text/name while preserving the base item; both sides must contain non-empty concrete values.
rule_f6fe500617600790,lash_thickness has different explicit values,lash_thickness,different_value,beauty_variant,RARE_SAFE,51,1,50,3,12,-3.187364000111417,CATEGORY_SPECIFIC,4,0,4,1,-2.242140427567844,SAME_DIRECTION_WEAK,"[""Красота и гигиена""]",,"Choose two explicit, mutually distinct variant values and update all title and attribute mentions consistently."
rule_b04d7730a8e98dca,blade_length has different explicit values,blade_length,different_value,dimensional_spec,RARE_EXPERIMENTAL_NO_CATEGORY_SCOPE,55,6,49,1,13,-1.0419562260972763,UNCERTAIN,3,0,3,2,-1.830108521438779,SAME_DIRECTION_WEAK,[],,"Change the named product dimension in the same unit; reject package dimensions, approximate measurements and missing values."
rule_e35082696c4369a5,lash_curl has different explicit values,lash_curl,different_value,beauty_variant,RARE_SAFE,59,0,59,4,17,-4.998260606293391,CATEGORY_SPECIFIC,5,0,5,1,-2.5164414662202024,SAME_DIRECTION_WEAK,"[""Красота и гигиена""]",,"Choose two explicit, mutually distinct variant values and update all title and attribute mentions consistently."
rule_8eb0649a5cc85498,lash_length has different explicit values,lash_length,different_value,beauty_variant,RARE_SAFE,59,3,56,3,18,-2.3097395037241464,CATEGORY_SPECIFIC,5,0,5,3,-2.4591079488136875,SAME_DIRECTION_WEAK,"[""Красота и гигиена""]",,"Choose two explicit, mutually distinct variant values and update all title and attribute mentions consistently."
rule_ecedb87a894f9151,hook_size has different explicit values,hook_size,different_value,dimensional_spec,RARE_SAFE,72,4,68,9,27,-1.7528292987421457,CATEGORY_SPECIFIC,3,0,3,1,-1.6520021399180613,SAME_DIRECTION_WEAK,"[""Спорт и отдых""]",,"Change the named product dimension in the same unit; reject package dimensions, approximate measurements and missing values."
rule_c8279513c21f3c1b,needle_diameter has different explicit values,needle_diameter,different_value,dimensional_spec,RARE_SAFE,72,5,67,3,23,-2.37749549226065,CATEGORY_SPECIFIC,6,0,6,4,-2.9819778131227324,SAME_DIRECTION_WEAK,"[""Хобби и творчество""]",,"Change the named product dimension in the same unit; reject package dimensions, approximate measurements and missing values."
rule_3dafe3e882f84fb0,curl_type has different explicit values,curl_type,different_value,beauty_variant,RARE_SAFE,73,0,73,0,13,-5.23156171721767,CATEGORY_SPECIFIC,5,1,4,1,-0.6136018107372408,SAME_DIRECTION_WEAK,"[""Красота и гигиена""]",,"Choose two explicit, mutually distinct variant values and update all title and attribute mentions consistently."
rule_8fa25cdb4fe1bd4d,sheet_size has different explicit values,sheet_size,different_value,dimensional_spec,RARE_SAFE,83,3,80,1,5,-2.255356069480454,CATEGORY_SPECIFIC,3,0,3,1,-1.6895364288931634,SAME_DIRECTION_WEAK,"[""Дом и сад""]",,"Change the named product dimension in the same unit; reject package dimensions, approximate measurements and missing values."
rule_4027fb60fec7ff28,target_surface has different explicit values,target_surface,different_value,target_compatibility,RARE_SAFE,102,32,70,6,21,-0.6244370330618696,CATEGORY_SPECIFIC,5,2,3,2,-0.11201101054043341,SAME_DIRECTION_WEAK,"[""Бытовая химия""]",,Use mutually exclusive explicit targets; reject broad/subset pairs and items explicitly suitable for both targets.
rule_7cf1ef1fdf525008,active_ingredient has different explicit values,active_ingredient,different_value,composition_identity,RARE_SAFE,120,21,99,2,24,-0.8190696122213288,GLOBAL,7,1,6,2,-1.0621002179550758,SAME_DIRECTION_WEAK,"[""Красота и гигиена"", ""Спорт и отдых""]",,"Replace the principal explicit ingredient, not concentration, additive or free-from claim; reject multi-ingredient subset comparisons."
rule_2927e486f6832204,design_pattern has different explicit values,design_pattern,different_value,categorical_variant,RARE_SAFE,141,10,131,6,24,-1.4235224837412666,GLOBAL,7,1,6,1,-0.3497935830060379,SAME_DIRECTION_WEAK,"[""Хобби и творчество"", ""Электроника""]",,"Choose mutually exclusive explicit category-valid values; reject synonyms, subsets and multi-value lists containing both variants."
rule_a488f60e29897411,frame_size has different explicit values,frame_size,different_value,dimensional_spec,RARE_SAFE,149,13,136,8,19,-1.6792987740321228,GLOBAL,10,2,8,4,-0.7584633299242937,SAME_DIRECTION_WEAK,"[""Детские товары"", ""Хобби и творчество""]",,"Change the named product dimension in the same unit; reject package dimensions, approximate measurements and missing values."
rule_755fccc70551246d,cable_length has different explicit values,cable_length,different_value,dimensional_spec,RARE_SAFE,170,6,164,3,33,-2.1991518661286706,GLOBAL,7,1,6,2,-0.7286885423201812,SAME_DIRECTION_WEAK,"[""Строительство и ремонт"", ""Хобби и творчество"", ""Электроника""]",,"Change the named product dimension in the same unit; reject package dimensions, approximate measurements and missing values."
rule_f53bb79d59252242,load_index has different explicit values,load_index,different_value,vehicle_spec,RARE_SAFE,177,9,168,2,6,-1.356679886705031,CATEGORY_SPECIFIC,13,1,12,1,-0.3795825833984201,SAME_DIRECTION_WEAK,"[""Автотовары""]",,"Change one normalized vehicle/tyre specification; do not mix index, size, speed rating or compatibility fields."
rule_d72b383e5fdd66e3,target_animal has different explicit values,target_animal,different_value,target_compatibility,RARE_SAFE,192,47,145,12,48,-0.5369009635184658,CATEGORY_SPECIFIC,13,4,9,2,-0.2908929953376741,SAME_DIRECTION_WEAK,"[""Товары для животных""]",,Use mutually exclusive explicit targets; reject broad/subset pairs and items explicitly suitable for both targets.
rule_a7d48af850b67d17,instrument_type has different explicit values,instrument_type,different_value,instrument_spec,RARE_SAFE,242,16,226,6,18,-1.394152459901203,CATEGORY_SPECIFIC,14,1,13,2,-0.9690367266615041,SAME_DIRECTION_WEAK,"[""Музыкальные инструменты""]",,"Choose two valid but distinct values for the same instrument subtype and keep instrument family, brand and model context fixed."
rule_9985fc48a8512f98,cylinder_power has different explicit values,cylinder_power,different_value,optical_prescription,RARE_SAFE,294,2,292,2,20,-2.355343476990912,CATEGORY_SPECIFIC,13,1,12,2,-0.3874882215122467,SAME_DIRECTION_WEAK,"[""Аптека""]",,"Change one normalized prescription parameter only, preserve sign and unit semantics, and keep all other prescription fields fixed."
rule_7e16fc9f13e7410f,oxygen_permeability has different explicit values,oxygen_permeability,different_value,optical_prescription,RARE_SAFE,324,12,312,5,37,-0.6975056737118321,CATEGORY_SPECIFIC,16,1,15,2,-0.5927580440161935,SAME_DIRECTION_WEAK,"[""Аптека""]",,"Change one normalized prescription parameter only, preserve sign and unit semantics, and keep all other prescription fields fixed."
rule_e47906aec49b09ca,compatible_model has different explicit values,compatible_model,different_value,compatibility_target,RARE_SAFE,333,22,311,32,96,-1.114539524438407,CATEGORY_SPECIFIC,11,0,11,1,-2.042233389650696,SAME_DIRECTION_WEAK,"[""Электроника""]",,Replace the exact compatible model with a different valid model; reject universal accessories and compatibility lists containing both models.
rule_6781877044ead9dd,axis has different explicit values,axis,different_value,optical_prescription,RARE_SAFE,368,3,365,8,55,-2.2094441383574437,CATEGORY_SPECIFIC,14,1,13,2,-0.46407243019502986,SAME_DIRECTION_WEAK,"[""Аптека""]",,"Change one normalized prescription parameter only, preserve sign and unit semantics, and keep all other prescription fields fixed."
